Date,Soneri Bank Ltd
20090408,175.78479741394722
20090409,169.09034780108715
20090410,151.6039460173445
20090411,151.6039460173445
20090412,151.6039460173445
20090413,146.20397055254202
20090414,155.52459244358604
20090415,159.28202122422678
20090416,162.37913292074995
20090417,162.6164096075707
20090418,162.6164096075707
20090419,162.6164096075707
20090420,155.32519157598364
20090421,153.85664306043805
20090422,164.37303229891538
20090423,171.31325871493206
20090424,165.19347195903953
20090425,165.19347195903953
20090426,165.19347195903953
20090427,180.62276756529198
20090428,176.02984380285181
20090429,173.04025584040903
20090430,185.2673888429311
20090501,185.2673888429311
20090502,185.2673888429311
20090503,185.2673888429311
20090504,185.91438601362458
20090505,183.6204267052689
20090506,172.00398606565025
20090507,175.4029794698583
20090508,174.23753193642938
20090509,174.23753193642938
20090510,174.23753193642938
20090511,178.11812976849285
20090512,168.37699011468217
20090513,170.38192343250225
20090514,173.54031473620051
20090515,167.3277758792964
20090516,167.3277758792964
20090517,167.3277758792964
20090518,171.7746595720482
20090519,176.45364777223165
20090520,179.51206698717723
20090521,178.81237262735553
20090522,174.08487101967032
20090523,174.08487101967032
20090524,174.08487101967032
20090525,171.75682529448062
20090526,173.75454624693046
20090527,174.8532825099462
20090528,173.83131904789872
20090529,168.91973711797223
20090530,168.91973711797223
20090531,168.91973711797223
20090601,171.20182285181906
20090602,171.76321157626202
20090603,176.0510388162668
20090604,176.43903150623248
20090605,178.7142777270996
20090606,178.7142777270996
20090607,178.7142777270996
20090608,177.28118834384102
20090609,180.97856861446536
20090610,191.01953661638737
20090611,188.42270151404736
20090612,191.41580723585304
20090613,191.41580723585304
20090614,191.41580723585304
20090615,185.41183213794847
20090616,198.6385233033669
20090617,191.15876974421803
20090618,190.42123403279183
20090619,199.68997816041917
20090620,199.68997816041917
20090621,199.68997816041917
20090622,207.21484536619496
20090623,210.9076692644581
20090624,212.23700005027334
20090625,204.68381944921273
20090626,194.99424644049995
20090627,194.99424644049995
20090628,194.99424644049995
20090629,191.53546465365565
20090630,173.40431857285228
20090701,168.1843106484863
20090702,166.2456958322389
20090703,176.83399182593402
20090704,176.83399182593402
20090705,176.83399182593402
20090706,169.15881849993124
20090707,165.79960497297924
20090708,165.36451620598348
20090709,169.5364961073525
20090710,165.03969877863892
20090711,165.03969877863892
20090712,165.03969877863892
20090713,158.99627293824545
20090714,154.22389685269226
20090715,149.8974677432341
20090716,146.5400651877578
20090717,145.72335260275494
20090718,145.72335260275494
20090719,145.72335260275494
20090720,143.9573295923727
20090721,140.6229588811829
20090722,140.6930642634749
20090723,139.15829670519045
20090724,142.62369452526616
20090725,142.62369452526616
20090726,142.62369452526616
20090727,144.7281940357635
20090728,145.46429728325995
20090729,144.5277523762472
20090730,150.981102649482
20090731,139.3529181414618
20090801,139.3529181414618
20090802,139.3529181414618
20090803,143.73513186847885
20090804,135.48298534797055
20090805,133.37985822587396
20090806,131.3105209928329
20090807,128.07932013187622
20090808,128.07932013187622
20090809,128.07932013187622
20090810,126.36476704515107
20090811,128.04294463748468
20090812,122.44220678899694
