Date,Metro Land Corp Ltd
20010814,1088.7357523622402
20010815,1068.685061414631
20010816,1080.9606450890674
20010817,1077.108765254668
20010818,1077.108765254668
20010819,1077.108765254668
20010820,1060.9749223237698
20010821,1060.0072687329757
20010822,1055.3667238480682
20010823,1047.7254650564403
20010824,1060.2834356909163
20010825,1060.2834356909163
20010826,1060.2834356909163
20010827,1077.1175312851194
20010828,1061.599062369251
20010829,1081.6612900376529
20010830,1065.7805716527591
20010831,1048.5735923467992
20010901,1046.3607078364623
20010902,1046.3607078364623
20010903,1047.7544519207495
20010904,1026.6852537776354
20010905,1038.4138884970491
20010906,1044.6791300392933
20010907,1078.6267869418914
20010908,1078.6267869418914
20010909,1078.6267869418914
20010910,1044.8600458408741
20010911,1054.2271982564594
20010912,1078.4465978505611
20010913,1077.3327584672998
20010914,1093.1579840580364
20010915,1093.1579840580353
20010916,1093.1579840580353
20010917,1090.6404079911629
20010918,1073.4011224019548
20010919,1058.3146624481917
20010920,1058.195569171907
20010921,1060.5771589084559
20010922,1060.5771589084559
20010923,1060.5771589084559
20010924,1050.32153210789
20010925,1054.140718309772
20010926,1051.2320874494349
20010927,1084.234270563105
20010928,1077.3981798910158
20010929,1077.3981798910158
20010930,1077.3981798910158
20011001,1074.9681892094466
20011002,1074.9681892094466
20011003,1074.9681892094466
20011004,1074.9681892094466
20011005,1074.9681892094466
20011006,1074.9681892094466
20011007,1074.9681892094466
20011008,1092.8572688267784
20011009,1081.1668121178793
20011010,1126.4699397040765
20011011,1156.614868276757
20011012,1122.6123505340781
20011013,1122.6123505340781
20011014,1122.6123505340781
20011015,1125.637850711788
20011016,1150.688131529724
20011017,1167.2832086082758
20011018,1187.534631898788
20011019,1229.2532912303654
20011020,1229.2532912303654
20011021,1229.2532912303654
20011022,1236.8696446968972
20011023,1139.4678453369079
20011024,1070.7171312755297
20011025,1104.926395453898
20011026,1108.1437286647842
20011027,1108.1437286647842
20011028,1108.1437286647842
20011029,1083.4861281006308
20011030,1088.1274540799411
20011031,1157.3011794060146
20011101,1136.6923077007998
