Date,Jilin Cheng Cheng Group Co Ltd
20120603,336.4751135424754
20120604,350.33007091857934
20120605,351.0205602983446
20120606,354.2954196287157
20120607,348.7940797826293
20120608,363.6071137696096
20120609,363.6071137696096
20120610,363.6071137696096
20120611,359.10677490591183
20120612,360.41011736036006
20120613,355.97813404640357
20120614,361.51275638066534
20120615,363.1116459623215
20120616,363.1116459623215
20120617,363.1116459623215
20120618,363.66495025686993
20120619,369.537890670014
20120620,369.9907150244111
20120621,381.3732209933092
20120622,381.3732209933092
20120623,381.3732209933092
20120624,381.3732209933092
20120625,388.2072376650541
20120626,383.9212638996463
20120627,383.63558715939246
20120628,388.6532389905745
20120629,384.4777015632773
20120630,384.4777015632773
20120701,383.90789813376944
20120702,380.1630414206615
20120703,381.04940667944607
20120704,379.92562325598624
20120705,392.555025483729
20120706,399.20450449583285
20120707,399.20450449583285
20120708,399.20450449583285
20120709,414.7988189655744
20120710,418.14441152412485
20120711,412.53721399857386
20120712,411.32614850319845
20120713,414.2696523265721
20120714,414.2696523265721
20120715,414.2696523265721
20120716,428.64099146882836
20120717,422.0871749341169
20120718,417.4463999808694
20120719,406.16563922497835
20120720,402.3685418290091
20120721,402.3685418290091
20120722,402.3685418290091
20120723,410.2295765273416
20120724,407.633357216558
20120725,399.66119402198996
20120726,407.43956209583075
20120727,415.0398761851771
20120728,415.0398761851771
20120729,415.0398761851771
20120730,426.91829998412993
20120731,432.50603798076054
20120801,428.2170046323569
20120802,435.2383350112673
20120803,422.5665665154605
20120804,422.5665665154605
20120805,422.5665665154605
20120806,414.3781674274436
20120807,407.9557170786706
20120808,413.72377016794087
20120809,380.6777389637485
20120810,366.54359544741345
20120811,366.54359544741345
20120812,366.54359544741345
20120813,335.8356610735071
20120814,349.24778935142837
20120815,347.1694369525526
20120816,366.53319813015673
20120817,373.227849684237
20120818,373.227849684237
20120819,373.227849684237
20120820,365.1833868594482
20120821,369.5182771298
20120822,381.39971980178365
20120823,377.44468524185055
20120824,392.16747690100783
20120825,392.16747690100783
20120826,392.16747690100783
20120827,400.63300472872965
20120828,396.8150147815603
20120829,401.5074257213694
20120830,438.3409105509119
20120831,427.5554114224709
20120901,426.96598623135543
20120902,426.96598623135543
20120903,420.64257629002293
20120904,421.5992669575988
20120905,420.985499848509
20120906,411.47598539005133
20120907,400.7873334644546
20120908,400.7873334644546
20120909,400.7873334644546
20120910,401.77295378012434
20120911,406.03719278236076
20120912,400.06158167724163
20120913,405.0073301454635
20120914,399.5846769767731
20120915,399.5846769767731
20120916,399.5846769767731
20120917,414.42292302966445
20120918,414.37850006957393
20120919,408.0633498061981
20120920,407.7963097171201
20120921,412.35453283764804
20120922,412.35453283764804
20120923,412.35453283764804
20120924,411.059202137437
20120925,416.30975458478923
20120926,420.0706202472335
20120927,418.3736089993137
20120928,412.54034125333914
20120929,412.54034125333914
20120930,412.54034125333914
20121001,411.9865399359252
20121002,411.9865399359252
