Date,Beh-Property Co Ltd
20040821,583.077431156774
20040822,583.077431156774
20040823,579.2217383196758
20040824,563.9359419228479
20040825,575.4080461178161
20040826,576.9625582572576
20040827,587.0237477175922
20040828,587.0237477175922
20040829,587.0237477175922
20040830,587.1369941361108
20040831,488.2392554837164
20040901,469.73601789368854
20040902,461.3473080292646
20040903,452.10896570749196
20040904,452.10896570749196
20040905,452.10896570749196
20040906,453.20651676444834
20040907,457.06143974977215
20040908,453.02420063670564
20040909,461.3717227857745
20040910,458.0196150116308
20040911,458.0196150116308
20040912,458.0196150116308
20040913,470.8994662916438
20040914,455.65173887019756
20040915,436.84985766470305
20040916,426.1564918405078
20040917,416.40376861413637
20040918,416.40376861413637
20040919,416.40376861413637
20040920,402.4997624155227
20040921,397.5738763365478
20040922,404.7767032776239
20040923,405.4580322303765
20040924,421.1536126019567
20040925,421.1536126019567
20040926,421.1536126019567
20040927,432.94496295565864
20040928,430.1288188990706
20040929,433.349733439156
20040930,460.9959666603281
20041001,418.53034376171894
20041002,418.53034376171894
20041003,418.53034376171894
20041004,418.53034376171894
20041005,418.53034376171894
20041006,418.53034376171894
20041007,418.53034376171894
20041008,411.8860631483283
20041009,411.8860631483283
20041010,411.8860631483283
20041011,414.55058816916664
20041012,408.872764547912
20041013,409.23969333409514
20041014,415.80102298885515
20041015,427.7885799689691
20041016,427.7885799689691
20041017,427.7885799689691
20041018,424.50382694379505
20041019,414.4468337497912
20041020,429.02634995961813
20041021,427.3388317627838
20041022,443.59854990835385
20041023,443.59854990835385
20041024,443.59854990835385
20041025,444.62810599904174
20041026,450.3766005735429
20041027,437.1561247492893
20041028,439.452867695064
20041029,454.61558650591064
20041030,454.61558650591064
20041031,454.61558650591064
20041101,393.4620714050704
20041102,396.41721504343917
20041103,388.26089739208385
20041104,393.9494145377651
20041105,377.31591618690015
20041106,377.31591618690015
20041107,377.31591618690015
20041108,381.60181257621946
20041109,383.2952319497429
20041110,377.4722902754372
20041111,373.3107900767653
20041112,375.76783270419816
20041113,375.76783270419816
20041114,375.76783270419816
20041115,375.18440501227315
20041116,380.4367958937162
20041117,381.71741836645947
20041118,377.8276474415405
20041119,346.7482886759008
20041120,346.7482886759008
20041121,346.7482886759008
20041122,335.30342911751154
20041123,333.71808220582466
20041124,344.0527204671492
20041125,353.47011420529344
20041126,350.1371006129668
20041127,350.1371006129668
20041128,350.1371006129668
20041129,355.15788061590627
20041130,356.99809159165886
20041201,259.3321074895306
20041202,257.41848164515534
20041203,249.33996338588398
20041204,249.33996338588398
20041205,249.33996338588398
20041206,247.34031290546793
20041207,253.41586834100184
20041208,252.44279385178527
20041209,251.43960903574074
20041210,253.36119694368622
20041211,253.36119694368622
20041212,253.36119694368622
20041213,253.53954434612945
20041214,255.3415501499106
20041215,250.17173860743375
20041216,252.7705217353525
20041217,254.8566220869638
20041218,254.8566220869638
20041219,254.8566220869638
20041220,254.51969006906725
20041221,258.76673682777687
20041222,250.27979695149563
20041223,254.47485199848788
20041224,256.54492809493024
20041225,256.54492809493024
20041226,256.54492809493024
20041227,258.742357721515
20041228,261.19855698514294
20041229,261.9924315975998
20041230,266.0196405630868
20041231,256.5965208138916
20050101,251.51705225544538
20050102,251.51705225544538
20050103,251.51705225544538
20050104,253.83487612444247
20050105,248.7429162110289
20050106,247.1641033039125
20050107,243.4745108960102
20050108,243.4745108960102
20050109,243.4745108960102
20050110,241.0298932649618
20050111,238.44841046026104
20050112,239.0437916092747
20050113,236.88799297816854
20050114,240.92180791424784
20050115,240.92180791424784
20050116,240.92180791424784
20050117,246.53592806051253
20050118,239.7117242524689
20050119,237.6656554354812
20050120,243.4750695175661
20050121,238.08827278209466
20050122,238.08827278209466
20050123,238.08827278209466
20050124,229.16063468431298
20050125,232.76995093986642
20050126,230.63121294268916
20050127,215.0152111674863
20050128,221.66990643617726
20050129,221.66990643617726
20050130,221.66990643617726
20050131,233.57431066898627
20050201,227.5740268694671
20050202,215.38871188377829
20050203,209.28729564251924
20050204,207.59360934608097
20050205,207.59360934608097
20050206,207.59360934608097
20050207,207.59360934608097
20050208,207.59360934608097
20050209,207.59360934608097
20050210,207.59360934608097
20050211,207.59360934608097
20050212,207.59360934608097
20050213,207.59360934608097
20050214,207.59360934608097
20050215,207.59360934608097
20050216,209.96677429643069
20050217,207.97368999011107
20050218,210.52336537823905
20050219,210.52336537823905
20050220,210.52336537823905
20050221,197.79191678364384
20050222,196.17741187031058
20050223,196.19457403122738
20050224,195.85322395298783
20050225,197.30951408430062
20050226,197.30951408430062
20050227,197.30951408430062
20050228,198.89221515723213
20050301,194.57894978348762
20050302,198.88472750686253
20050303,197.0142268014866
20050304,196.18252765842416
20050305,196.18252765842416
20050306,196.18252765842416
20050307,196.13319435431066
20050308,194.28213044719325
20050309,192.44097904612929
20050310,199.04439198079083
20050311,201.00661878875306
20050312,201.00661878875306
20050313,201.00661878875306
20050314,205.65078468112293
20050315,210.62841064405427
20050316,209.55686147024306
20050317,214.36553713851157
20050318,214.52910329652437
20050319,214.52910329652437
20050320,214.52910329652437
20050321,210.1243382500364
20050322,208.96231303783094
20050323,225.9885399940954
20050324,224.32295226340653
20050325,224.38151688473917
20050326,224.38151688473917
20050327,224.38151688473917
20050328,229.55830299918875
20050329,227.28840282820028
20050330,226.87390662787064
20050331,224.1505351120981
20050401,214.8404901919187
20050402,214.8404901919187
20050403,214.8404901919187
20050404,218.79486301555045
20050405,218.70839999838086
20050406,218.96488978677698
20050407,216.49081029086793
20050408,215.57561560706287
20050409,215.57561560706287
20050410,215.57561560706287
20050411,207.8329891024179
20050412,214.1859817340619
20050413,209.24562436249397
20050414,217.2701278477201
20050415,219.77537893441223
20050416,219.77537893441223
20050417,219.77537893441223
20050418,217.6793592535552
20050419,220.64487714352268
20050420,224.1519709636112
20050421,243.02990954603555
20050422,248.77759900552687
20050423,248.77759900552687
20050424,248.77759900552687
20050425,258.0225641440883
20050426,255.3642716731199
20050427,257.7004202164914
20050428,252.20544822704787
20050429,255.35892622536184
20050430,255.35892622536184
20050501,250.28588275402416
20050502,250.28588275402416
20050503,250.28588275402416
20050504,250.28588275402416
20050505,250.28588275402416
20050506,250.28588275402416
20050507,250.28588275402416
20050508,250.28588275402416
20050509,251.15966290051608
20050510,261.219906102747
20050511,265.8798583417648
20050512,263.420760474668
20050513,248.8557422454903
20050514,248.8557422454903
20050515,248.8557422454903
20050516,258.13627479597034
20050517,249.3303598505777
20050518,247.33188431962984
20050519,247.59162037683865
20050520,246.6249962628912
20050521,246.6249962628912
20050522,246.6249962628912
20050523,259.2619039744553
20050524,253.69824938528942
20050525,252.17164251500145
20050526,251.0158845283791
20050527,249.72466324889385
20050528,249.72466324889385
20050529,249.72466324889385
20050530,242.87344724034668
20050531,244.19538428184146
20050601,240.62305002641912
20050602,241.58037209903392
20050603,243.0594637751117
20050604,243.0594637751117
20050605,243.0594637751117
20050606,244.93948183324338
20050607,238.10940070663915
20050608,226.49916313203246
20050609,227.70580341792223
20050610,231.70858724253674
20050611,231.70858724253674
20050612,231.70858724253674
20050613,231.13438381074374
20050614,231.9927032461467
20050615,237.93068203844916
20050616,239.21085725219388
20050617,244.52597337049266
20050618,244.52597337049266
