Date,Tianjin Songjiang Co Ltd
20160322,505.0853983332936
20160323,503.3210553373657
20160324,509.2041918746411
20160325,495.8601224772264
20160326,495.8601224772264
20160327,495.8601224772264
20160328,498.1581405313411
20160329,512.3518255880016
20160330,500.17148753568136
20160331,502.6251048377583
20160401,497.9073932044001
20160402,497.9073932044001
20160403,497.9073932044001
20160404,497.9073932044001
20160405,479.3849006022036
20160406,461.4383849946839
20160407,460.79038858469363
20160408,471.1216731094828
20160409,471.1216731094828
20160410,471.1216731094828
20160411,464.62556664512675
20160412,474.577651331341
20160413,465.9097128158282
20160414,460.2590685229569
20160415,452.13384178387986
20160416,452.13384178387986
20160417,452.13384178387986
20160418,454.5841419379979
20160419,444.14778934230424
20160420,496.5889588685118
20160421,505.20571540897714
20160422,497.36357528243576
20160423,497.36357528243576
20160424,497.36357528243576
20160425,511.2596032525743
20160426,511.3906206049688
20160427,469.80473377776786
20160428,499.70782984964774
20160429,495.10183585904326
20160430,495.10183585904326
20160501,494.9249195056047
20160502,494.9249195056047
20160503,493.28486266248444
20160504,497.87725164615466
20160505,501.3375776357881
20160506,528.7695842991258
20160507,528.7695842991258
20160508,528.7695842991258
20160509,557.5320357581568
20160510,551.5832110970408
20160511,553.5952733142416
20160512,557.0668121160346
20160513,556.1274145877786
20160514,556.1274145877786
20160515,556.1274145877786
20160516,551.6679165755314
20160517,554.1823359087651
20160518,563.6417047252943
20160519,548.9057053638339
20160520,529.6217186038945
20160521,529.6217186038945
20160522,529.6217186038945
20160523,525.6170249203985
20160524,534.7484559524701
20160525,527.3554554572494
20160526,524.6684959287952
20160527,532.5718696562999
20160528,532.5718696562999
20160529,532.5718696562999
20160530,538.2838876954152
20160531,523.4755994056071
20160601,518.401103010107
20160602,506.2593407929304
20160603,506.23598910704425
20160604,506.23598910704425
20160605,506.23598910704425
20160606,503.81626275454454
20160607,509.6493843623676
20160608,508.460107525084
20160609,508.460107525084
20160610,508.460107525084
20160611,508.460107525084
20160612,508.460107525084
20160613,525.4695315370438
20160614,522.0050482614641
20160615,514.5023150221144
20160616,522.9304083178109
20160617,514.3510739126449
20160618,514.3510739126449
20160619,514.3510739126449
20160620,524.6518168591252
20160621,524.0473492092168
20160622,522.1856770839617
20160623,523.8074286919561
20160624,528.4800039967906
20160625,528.4800039967906
20160626,528.4800039967906
20160627,531.6334899947724
20160628,502.0968988703146
20160629,502.62398679737566
20160630,489.38517329169775
20160701,493.5462602324784
20160702,493.5462602324784
20160703,493.5462602324784
20160704,505.0365271182242
20160705,499.9505920288748
20160706,497.1072985022003
20160707,497.9768759132957
20160708,500.07785417531454
20160709,500.07785417531454
20160710,500.07785417531454
20160711,482.4935812984573
20160712,478.0613984744846
20160713,467.0968513180078
20160714,466.7506055769924
20160715,464.3061543363499
20160716,464.3061543363499
20160717,464.3061543363499
20160718,477.3600352955534
20160719,478.67386440089854
20160720,452.31959666096054
20160721,449.80041575806274
20160722,444.5186550531145
20160723,444.5186550531145
20160724,444.5186550531145
20160725,449.8998527960562
20160726,448.95640026282234
20160727,477.46666632545066
20160728,484.77674320274105
20160729,477.65673801463873
20160730,477.65673801463873
20160731,477.65673801463873
20160801,488.5764333143362
20160802,476.12626041426716
20160803,460.37139776238564
20160804,454.1090293570933
20160805,461.2005102173267
20160806,461.2005102173267
20160807,461.2005102173267
20160808,453.3057370660232
20160809,455.44619742127173
20160810,453.6107663316629
20160811,458.684278848511
20160812,451.04126964222496
20160813,451.04126964222496
20160814,451.04126964222496
20160815,447.70226917711943
20160816,439.22425151843186
20160817,436.10901830493555
20160818,443.77350460005414
20160819,449.9590375176365
20160820,449.9590375176365
20160821,449.9590375176365
20160822,463.6001638999081
20160823,465.1701579320028
20160824,476.2180429246012
20160825,494.3166690131086
20160826,451.2874000379153
20160827,451.2874000379153
20160828,451.2874000379153
20160829,437.6167262206909
20160830,439.0063634178935
20160831,428.5605729603785
20160901,437.58958865689686
20160902,438.4348044814664
20160903,438.4348044814664
20160904,438.4348044814664
20160905,434.21785461098847
20160906,433.0495321280016
20160907,436.38788622802576
20160908,430.99765426678067
20160909,430.2698923258689
20160910,430.2698923258689
20160911,430.2698923258689
20160912,448.8638636965819
20160913,441.6290206545299
20160914,445.1000044922802
20160915,445.1000044922802
20160916,445.1000044922802
20160917,445.1000044922802
20160918,445.1000044922802
20160919,444.5763840729531
20160920,444.33206834862773
20160921,440.35081442635015
20160922,438.6878358287807
20160923,443.56873400951184
20160924,443.56873400951184
20160925,443.56873400951184
20160926,447.74461534473414
20160927,441.76217380224136
20160928,444.13968730939325
20160929,445.9796645404895
20160930,435.3420130594748
20161001,435.20788013897925
20161002,435.20788013897925
20161003,435.20788013897925
20161004,435.20788013897925
20161005,435.20788013897925
20161006,435.20788013897925
20161007,435.20788013897925
20161008,435.20788013897925
20161009,435.20788013897925
20161010,424.22124219584197
20161011,414.34959413204666
20161012,413.5108270927816
20161013,412.2289637163767
20161014,416.8927230866784
20161015,416.8927230866784
20161016,416.8927230866784
20161017,411.8812840041352
20161018,406.8731646585473
20161019,408.6283763280449
20161020,409.13145684902366
20161021,398.3166005785421
20161022,398.3166005785421
20161023,398.3166005785421
20161024,403.54653319906504
20161025,404.4861807810924
20161026,403.3240816362032
20161027,407.08655467379646
20161028,400.4225167575386
20161029,400.4225167575386
20161030,400.4225167575386
20161031,386.52549349163525
20161101,385.60189236225233
20161102,390.27682522525936
20161103,387.88902623582226
20161104,381.8047987910754
20161105,381.8047987910754
20161106,381.8047987910754
20161107,370.9434940076356
20161108,371.4280598573088
20161109,369.42641333978844
20161110,370.7484110207131
20161111,371.19264260274133
20161112,371.19264260274133
20161113,371.19264260274133
20161114,373.30128805170506
20161115,373.2441499199673
20161116,372.50089699486756
20161117,372.6883164050323
20161118,373.2187705307576
20161119,373.2187705307576
20161120,373.2187705307576
20161121,372.37474339128767
20161122,373.29324809945365
20161123,373.2875688294553
20161124,373.1991987005903
20161125,372.98209811037196
20161126,372.98209811037196
20161127,372.98209811037196
20161128,379.0497368311763
20161129,379.28010748867183
20161130,377.7548386408938
20161201,377.9907486802541
20161202,374.89840272463823
20161203,374.89840272463823
20161204,374.89840272463823
20161205,373.9968997906945
20161206,373.90995178935816
20161207,374.259645323103
20161208,375.6563486464498
20161209,375.82916200550767
20161210,375.82916200550767
20161211,375.82916200550767
20161212,374.5145470717981
20161213,374.64233894525245
20161214,371.93847304935474
20161215,371.5936047480371
20161216,371.653525986532
20161217,371.653525986532
20161218,371.653525986532
20161219,369.94255206147056
20161220,369.6111441426519
20161221,369.01751345438765
20161222,368.88932122532225
20161223,368.37293032852887
20161224,368.37293032852887
20161225,368.37293032852887
20161226,368.9578510096428
20161227,368.77069187723487
20161228,370.6611858299694
20161229,368.31393567777496
20161230,368.26650274099904
20161231,368.26650274099904
20170101,368.1614497125553
20170102,368.1614497125553
20170103,369.91647992151746
20170104,376.92031056301784
20170105,377.2417609211666
20170106,374.7838567315248
20170107,374.7838567315248
20170108,374.7838567315248
20170109,380.60500708337065
20170110,380.30322554499725
20170111,385.3322776557797
20170112,384.12758159359765
20170113,385.8843576275822
20170114,385.8843576275822
20170115,385.8843576275822
20170116,387.36400111328146
20170117,387.55690726709116
20170118,387.3194377320983
20170119,383.4601406735258
20170120,384.6974439573655
20170121,384.6974439573655
20170122,384.6974439573655
20170123,387.3989941194019
20170124,387.6502713522247
20170125,387.1173178727832
20170126,395.421065825927
20170127,395.421065825927
20170128,395.421065825927
20170129,395.421065825927
20170130,395.421065825927
20170131,395.421065825927
20170201,395.3116848278544
20170202,395.3116848278544
20170203,391.9862890571374
20170204,391.9862890571374
20170205,391.9862890571374
20170206,391.31506085906915
20170207,390.7080348293199
20170208,390.29797878701936
20170209,390.93731222093976
20170210,389.51486457920294
20170211,389.51486457920294
20170212,389.51486457920294
20170213,389.41606843616074
20170214,388.14696371552367
20170215,389.2084462060854
20170216,385.84759803220305
20170217,383.58951791348545
20170218,383.58951791348545
20170219,383.58951791348545
20170220,385.19605277721314
20170221,385.25252177104517
20170222,382.7077162211152
20170223,383.31634889802456
20170224,382.40987815830255
20170225,382.40987815830255
20170226,382.40987815830255
20170227,388.18054687589233
20170228,392.5193808810721
20170301,390.25355581225665
20170302,384.37643309133665
20170303,383.4681600871729
20170304,383.4681600871729
20170305,383.4681600871729
20170306,383.37530749745366
20170307,382.51115414217776
20170308,382.24407999723064
20170309,383.02101024132895
20170310,385.3388335646627
20170311,385.3388335646627
20170312,385.3388335646627
20170313,385.8908662242418
20170314,383.52557815164346
20170315,383.47363518876784
20170316,384.26416197215025
20170317,378.3478482712905
20170318,378.3478482712905
20170319,378.3478482712905
20170320,376.6520747824599
20170321,374.6866505933309
20170322,374.8656993167848
