Date,Beijing Homyear Capital Holdings Co Ltd
20011023,550.7148211887775
20011024,502.11461282824735
20011025,513.5878139995853
20011026,510.6436833292284
20011027,510.6436833292284
20011028,510.6436833292284
20011029,496.41273715318886
20011030,500.068988765951
20011031,576.673080500827
20011101,578.8568764785866
20011102,575.5821548728245
20011103,575.5821548728245
20011104,575.5821548728245
20011105,577.7697235105318
20011106,587.7750768474313
20011107,614.9607871607064
20011108,609.0243439569824
20011109,600.6703188432728
20011110,600.6703188432728
20011111,600.6703188432728
20011112,611.1018677117164
20011113,620.8871121566806
20011114,616.6132271572068
20011115,615.7179798399378
20011116,602.4199681867498
20011117,602.4199681867498
20011118,602.4199681867498
20011119,596.5441187660032
20011120,591.0535846982763
20011121,593.5233035762698
20011122,591.6927629132305
20011123,596.3553980665905
20011124,596.3553980665905
20011125,596.3553980665905
20011126,606.434541622713
20011127,598.0957587267395
20011128,596.2192708364267
20011129,593.4398856247985
20011130,589.9914365443541
20011201,588.4347582310083
20011202,588.4347582310083
20011203,588.3946795239774
20011204,584.2927997109376
20011205,587.9907508991284
20011206,587.4606447454769
20011207,581.0860276688737
20011208,581.0860276688737
20011209,581.0860276688737
20011210,587.3193658728948
20011211,598.9233051057021
20011212,601.06495587162
20011213,608.059304978663
20011214,612.6126255766156
20011215,612.6126255766156
20011216,612.6126255766156
20011217,617.5824450630008
