Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20130127,87.22151208288663
20130128,86.56021273825674
20130129,82.32614011872806
20130130,81.29896071066464
20130131,80.14760325281412
20130201,79.543875083433
20130202,79.543875083433
20130203,79.543875083433
20130204,81.7582056552935
20130205,81.612389301244
20130206,81.66101020714784
20130207,82.17686645366005
20130208,81.33593227558477
20130209,81.33593227558477
20130210,81.33593227558477
20130211,81.33593227558477
20130212,81.33593227558477
20130213,81.33593227558477
20130214,81.33593227558477
20130215,81.33593227558477
20130216,81.33593227558477
20130217,81.33593227558477
20130218,81.04469032217703
20130219,81.62352112284341
20130220,81.05360206615629
20130221,81.16481126790318
20130222,79.4510345101709
20130223,79.4510345101709
20130224,79.4510345101709
20130225,77.90522729786292
20130226,77.42805757953447
20130227,74.81617543242133
20130228,75.46947021005582
20130301,67.9804518943131
20130302,67.9804518943131
20130303,67.9804518943131
20130304,60.60752042664235
20130305,58.308984289365654
20130306,59.98685596980419
20130307,64.3725349141525
20130308,63.37659742457958
20130309,63.37659742457958
20130310,63.37659742457958
20130311,62.671029054913745
20130312,65.40162527803001
20130313,62.07420866330649
20130314,62.219026107747005
20130315,63.71556267715385
20130316,63.71556267715385
20130317,63.71556267715385
20130318,65.92947951818253
20130319,65.53305448920558
20130320,64.79907772433057
20130321,63.163177372104855
20130322,63.04085539517473
20130323,63.04085539517473
20130324,63.04085539517473
20130325,61.54470827273071
20130326,60.89941009930176
20130327,63.8742944596835
20130328,66.83122665078415
20130329,72.00307666590456
20130330,72.00307666590456
20130331,72.00307666590456
20130401,72.64466898059514
20130402,75.61797406003275
20130403,76.31836533430452
20130404,76.31836533430452
20130405,76.31836533430452
20130406,76.31836533430452
20130407,76.31836533430452
20130408,71.35186002251166
20130409,72.32394881257412
20130410,72.99523302163395
20130411,72.52725470846234
20130412,72.88863491811325
20130413,72.88863491811325
20130414,72.88863491811325
20130415,75.04659476365374
20130416,74.22912599282402
20130417,74.18630152934142
20130418,73.63726743773157
20130419,72.77753352407473
20130420,72.77753352407473
20130421,72.77753352407473
20130422,71.56085841293378
20130423,75.20034164252647
20130424,74.5196159739122
20130425,72.88062681001792
20130426,76.56318377788305
20130427,76.56318377788305
20130428,76.56318377788305
20130429,76.56318377788305
20130430,76.56318377788305
20130501,76.44763874273461
20130502,78.39335749833126
20130503,78.08263301817614
20130504,78.08263301817614
20130505,78.08263301817614
20130506,75.55546672316135
20130507,72.11811732272835
20130508,71.38124001419297
