Date,Ecobank Transnational Inc
20090715,251.59830160550965
20090716,268.5825163240736
20090717,259.8473531025837
20090718,259.8473531025837
20090719,259.8473531025837
20090720,264.2586435732964
20090721,279.85864254750936
20090722,317.239986167364
20090723,309.13965775408406
20090724,281.29824735997505
20090725,281.29824735997505
20090726,281.29824735997505
20090727,271.79887980034454
20090728,235.0940961929
20090729,237.3156423783044
20090730,245.62653866228843
20090731,250.45088695475084
20090801,250.45088695475084
20090802,250.45088695475084
20090803,234.20306308551932
20090804,241.0415995235031
20090805,236.3824959870004
20090806,230.8449222615741
20090807,221.04498331811791
20090808,221.04498331811791
20090809,221.04498331811791
20090810,219.9256952283455
20090811,212.18460060496895
20090812,207.24996542982052
20090813,217.87496516616412
20090814,205.49982106187687
20090815,205.49982106187687
20090816,205.49982106187687
20090817,262.28991838952135
20090818,269.92009863689213
20090819,281.8810480029256
20090820,283.71701347417576
20090821,282.45031951365206
20090822,282.45031951365206
20090823,282.45031951365206
20090824,265.4986505394019
20090825,252.75411260280686
20090826,244.57807954566277
20090827,266.2553532566361
20090828,255.57448468528747
20090829,255.57448468528747
20090830,255.57448468528747
20090831,273.7668652123269
20090901,304.32166378250434
20090902,282.0514742666799
20090903,291.8799572453219
20090904,304.84436488712964
20090905,304.84436488712964
20090906,304.84436488712964
20090907,301.3679375844261
20090908,307.17060361493486
20090909,291.1228278792186
20090910,306.61068424492845
20090911,296.53911923453967
20090912,296.53911923453967
20090913,296.53911923453967
20090914,295.31233428861924
20090915,296.5350251936148
20090916,275.69587685481815
20090917,275.69587685481815
20090918,265.0456017552123
20090919,265.0456017552123
20090920,265.0456017552123
20090921,265.0456017552123
20090922,265.0456017552123
20090923,241.90836750922247
20090924,247.2590527456206
20090925,256.09367833420373
20090926,256.09367833420373
20090927,256.09367833420373
20090928,257.1182493024045
20090929,271.03817507414675
20090930,275.7831576927191
20091001,275.7831576927191
20091002,250.46040196657938
20091003,250.46040196657938
20091004,250.46040196657938
20091005,237.17609713371752
20091006,219.25564476780062
20091007,206.82217993598698
20091008,201.41095509554611
20091009,192.26987012792455
20091010,192.26987012792455
20091011,192.26987012792455
20091012,172.46369811180222
20091013,182.71977797238597
20091014,184.81282915486318
20091015,194.91938207982014
20091016,196.47500144290714
20091017,196.47500144290714
20091018,196.47500144290714
20091019,186.52093794661081
20091020,174.52968334197
20091021,172.81522158595297
20091022,176.97072430578143
20091023,179.41728302870274
20091024,179.41728302870274
20091025,179.41728302870274
20091026,182.0416828436099
20091027,180.24541369567424
20091028,181.94148615241087
20091029,189.12713554954104
20091030,186.61408637994023
20091031,186.61408637994023
20091101,186.61408637994023
20091102,191.46911636732278
20091103,196.24117484156542
20091104,199.20398026741333
20091105,189.78730426611182
20091106,181.01560600970154
20091107,181.01560600970154
20091108,181.01560600970154
20091109,178.19690983190935
20091110,190.6130483459231
20091111,192.80358740861382
20091112,193.37047407967924
20091113,191.9552190112014
20091114,191.9552190112014
20091115,191.9552190112014
20091116,192.63829353560902
20091117,193.83601783563384
20091118,193.3204132799932
20091119,187.15154534872227
20091120,186.54110254275804
20091121,186.54110254275804
20091122,186.54110254275804
20091123,187.06903395581196
20091124,187.42280902589698
20091125,176.9362694380483
20091126,176.9362694380483
20091127,176.9362694380483
20091128,176.9362694380483
20091129,176.9362694380483
20091130,180.61196081864037
20091201,181.344822460928
20091202,181.20960495280738
20091203,186.50265457703006
20091204,177.81481222478462
20091205,177.81481222478462
20091206,177.81481222478462
20091207,179.90855248048157
20091208,177.4032996222334
20091209,169.74727275780714
20091210,172.88075748484619
20091211,170.70491514511988
20091212,170.70491514511988
20091213,170.70491514511988
20091214,166.37129211541668
20091215,171.07574943646233
20091216,168.50075023497706
20091217,171.86325853609958
20091218,171.36347759286784
20091219,171.36347759286784
20091220,171.36347759286784
20091221,168.03683981887883
20091222,167.45013369631752
20091223,158.1485748437513
20091224,158.1485748437513
20091225,158.1485748437513
20091226,158.1485748437513
20091227,158.1485748437513
20091228,155.63292338873012
20091229,158.50442648726954
20091230,155.66733007765663
20091231,138.19245504013955
20100101,138.19245504013955
20100102,138.19245504013955
20100103,138.19245504013955
20100104,142.31065219519547
20100105,141.7713241187903
20100106,145.64378214971046
20100107,146.58716808622694
20100108,147.77857030101526
20100109,147.77857030101526
20100110,147.77857030101526
20100111,143.52015438755154
20100112,135.7520609634096
20100113,139.15467266347707
20100114,143.02212071601954
20100115,148.44338073942788
20100116,148.44338073942788
20100117,148.44338073942788
20100118,142.61455657949617
20100119,140.25389570848367
20100120,143.35935692806234
20100121,137.9987820096838
20100122,140.5260600769812
20100123,140.5260600769812
20100124,140.5260600769812
20100125,141.08296669276683
20100126,140.61546214405516
20100127,139.58186666730612
20100128,139.933456144313
20100129,134.43636666640998
20100130,134.43636666640998
20100131,134.43636666640998
20100201,134.3574308030138
20100202,133.99370401512044
20100203,131.50375939191466
20100204,127.20803720606588
20100205,127.56374903861737
20100206,127.56374903861737
20100207,127.56374903861737
20100208,139.93546887237508
20100209,133.4936192675227
20100210,135.73920841935333
20100211,133.5095152810012
20100212,137.65051203174616
20100213,137.65051203174616
20100214,137.65051203174616
20100215,133.813433314817
20100216,134.85159448024334
20100217,134.0625469700728
20100218,132.1075376590575
20100219,131.13196288723813
20100220,131.13196288723813
20100221,131.13196288723813
20100222,130.20773278161187
20100223,133.7603123589376
20100224,130.52524696680993
20100225,132.78212030992398
20100226,132.78212030992398
20100227,132.78212030992398
20100228,132.78212030992398
20100301,133.27771449862624
20100302,130.92233939557158
20100303,141.96824957590678
20100304,137.13747697377
20100305,138.4605116001716
20100306,138.4605116001716
20100307,138.4605116001716
20100308,137.37737013452102
20100309,133.00150952270718
20100310,130.82481165745833
20100311,128.53586792302917
20100312,126.94225744279566
20100313,126.94225744279566
20100314,126.94225744279566
20100315,125.78565849833153
20100316,120.66003461272562
20100317,125.18862703190744
20100318,125.86163215469811
20100319,127.05436262881027
20100320,127.05436262881027
20100321,127.05436262881027
20100322,122.35268771724238
20100323,113.27085444500193
20100324,111.94264309232535
20100325,112.37087971830505
20100326,114.43771494029352
20100327,114.43771494029352
20100328,114.43771494029352
20100329,116.75336199117467
20100330,105.36802800737847
20100331,100.23807127744273
20100401,101.52737866136574
20100402,101.52737866136574
20100403,101.52737866136574
