Date,Ecsponent Ltd
20080517,49.35003276651839
20080518,49.35003276651839
20080519,49.130669921886
20080520,49.31889081328445
20080521,51.524475270254555
20080522,51.36838868329026
20080523,50.938475070415734
20080524,50.938475070415734
20080525,50.938475070415734
20080526,52.7064726005855
20080527,49.9705143368683
20080528,48.81240954496596
20080529,48.63762678683902
20080530,48.887394458326455
20080531,48.887394458326455
20080601,48.887394458326455
20080602,53.78769303314542
20080603,55.70351309049657
20080604,55.07108937312816
20080605,53.37560399577712
20080606,53.26545673021909
20080607,53.26545673021909
20080608,53.26545673021909
20080609,52.836037935386656
20080610,50.64742596264776
20080611,48.56849484554369
20080612,50.277509989539844
20080613,50.3833105457204
20080614,50.3833105457204
20080615,50.3833105457204
20080616,50.3833105457204
20080617,49.863362220206405
20080618,52.608218872285406
