Date,DongfengSci-Tech Group Co Ltd
20011224,1122.5434505747758
20011225,1119.9982066321932
20011226,1108.7134292929481
20011227,1103.997091227642
20011228,1097.818503178938
20011229,1097.818503178938
20011230,1097.818503178938
20011231,1055.7712171946546
20020101,1052.8563499828294
20020102,1052.8563499828294
20020103,1052.8563499828294
20020104,1049.9085399815704
20020105,1049.9085399815704
20020106,1049.9085399815704
20020107,1047.9973608253097
20020108,1091.0841349463485
20020109,1127.0685434086156
20020110,1109.4873990720928
20020111,1132.8210192810918
20020112,1132.8210192810918
20020113,1132.8210192810918
20020114,1193.5592954456165
20020115,1241.1422290165667
20020116,1211.7607767765005
20020117,1255.403162895462
20020118,1264.3257376163613
20020119,1264.3257376163613
20020120,1264.3257376163613
20020121,1364.3812100349346
20020122,1456.1603826978412
20020123,1380.483393133702
20020124,1348.6716091045428
20020125,1288.5349491406898
20020126,1288.5349491406898
20020127,1288.5349491406898
20020128,1356.9392449221393
20020129,1303.0551599863368
20020130,1310.5240569753116
20020131,1233.0409256331861
20020201,1214.5743970210563
20020202,1214.5743970210563
20020203,1214.5743970210563
20020204,1171.6756073754298
20020205,1178.0257280465648
20020206,1191.819669090875
20020207,1148.488621175557
20020208,1081.5055735878004
20020209,1081.5055735878004
20020210,1081.5055735878004
20020211,1081.5055735878004
20020212,1081.5055735878004
20020213,1081.5055735878004
20020214,1081.5055735878004
20020215,1081.5055735878004
20020216,1081.5055735878004
20020217,1081.5055735878004
20020218,1081.5055735878004
20020219,1081.5055735878004
20020220,1081.5055735878004
20020221,1081.5055735878004
20020222,1081.5055735878004
20020223,1081.5055735878004
20020224,1081.5055735878004
20020225,1526.882393862519
20020226,1533.287618989415
20020227,1532.1837413829576
20020228,1589.6122244102698
20020301,1603.798465309725
20020302,1603.798465309725
20020303,1603.798465309725
20020304,1577.683158908967
20020305,1540.5788223118793
20020306,1563.5108094231575
20020307,1556.6544567809594
20020308,1551.5512927027632
20020309,1551.5512927027632
20020310,1551.5512927027632
20020311,1463.7840249961368
20020312,1459.7270849223873
20020313,1551.1617413922952
20020314,1502.0420496777392
20020315,1515.666186770684
20020316,1515.666186770684
20020317,1515.666186770684
20020318,1512.401364756233
20020319,1470.6082075008192
20020320,1460.4660917232063
20020321,1483.9660303785795
20020322,1477.8281240165425
20020323,1477.8281240165425
20020324,1477.8281240165425
20020325,1457.2215084712702
20020326,1445.8016292496195
20020327,1419.203705727587
20020328,1386.0455124905889
20020329,1400.3294164787644
20020330,1400.3294164787644
20020331,1400.3294164787644
20020401,1392.0545197238114
20020402,1374.3274101669265
20020403,1369.7125375012743
20020404,1363.875423489795
20020405,1343.1110201372137
20020406,1343.1110201372137
20020407,1343.1110201372137
20020408,1355.324059162905
20020409,1355.639091913335
20020410,1361.1415348236503
20020411,1379.1079457733047
20020412,1376.3621902490997
20020413,1376.3621902490997
20020414,1376.3621902490997
20020415,1424.1409484310504
20020416,1451.5286675022091
20020417,1442.0536341532468
20020418,1475.0055223326058
20020419,1437.8061318611433
20020420,1437.8061318611433
20020421,1437.8061318611433
