Date,Beijing Zodi Investment Co Ltd
19970801,135.37532771531338
19970802,135.37532771531338
19970803,135.37532771531338
19970804,139.12205856292184
19970805,140.23047006179561
19970806,138.67811560357472
19970807,139.10608358559185
19970808,140.67482075793595
19970809,140.67482075793595
19970810,140.67482075793595
19970811,142.390815754133
19970812,141.77325550037438
19970813,144.05306927744914
19970814,143.14881461958245
19970815,141.8917216252546
19970816,141.8917216252546
19970817,141.8917216252546
19970818,142.59450909455634
19970819,139.13656947030415
19970820,140.53894702215908
19970821,140.36766520861713
19970822,141.44765043208216
19970823,141.44765043208216
19970824,141.44765043208216
19970825,142.3633657416684
19970826,144.7554813964265
19970827,143.47016414210034
19970828,145.69950608838997
19970829,143.60274768573515
19970830,143.60274768573515
19970831,143.60274768573515
19970901,146.0069388544814
19970902,141.8205111416541
19970903,143.38395906781903
19970904,143.3138186219863
19970905,144.9066934958785
19970906,144.9066934958785
19970907,144.9066934958785
19970908,149.3199397073138
19970909,148.23267643264344
19970910,152.09120027265922
19970911,150.14095340110586
19970912,151.14353821087718
19970913,151.14353821087718
19970914,151.14353821087718
19970915,149.71361422455763
19970916,149.20221985196372
19970917,149.32150003478046
19970918,151.954008680895
19970919,151.9513724723086
19970920,151.9513724723086
19970921,151.9513724723086
19970922,152.24520115747006
19970923,153.7361650540206
19970924,149.42313247636258
19970925,154.52249220220978
19970926,154.14228555280047
19970927,154.14228555280047
19970928,154.14228555280047
19970929,156.7656706839188
19970930,148.04011709117586
19971001,148.0299782104104
19971002,148.0299782104104
19971003,148.0299782104104
19971004,148.0299782104104
19971005,148.0299782104104
19971006,149.35358126695687
19971007,150.47952563230928
19971008,147.57694297979057
19971009,149.50945641858002
19971010,148.73728762672286
19971011,148.73728762672286
19971012,148.73728762672286
19971013,147.33691746160835
19971014,146.2638933447254
19971015,144.9175584049446
19971016,137.91839702833462
19971017,133.18986336678802
19971018,133.18986336678802
19971019,133.18986336678802
19971020,134.10104916914835
19971021,133.13452910486404
19971022,124.65513425588942
19971023,132.14874406801624
19971024,131.76573931773189
19971025,131.76573931773189
19971026,131.76573931773189
19971027,124.50061840264674
19971028,127.01124521373895
19971029,119.98024384789632
19971030,121.88112046115262
19971031,122.8449547247358
19971101,122.83587680964773
19971102,122.83587680964773
19971103,132.2948774889471
19971104,127.24375639066074
19971105,127.91675514837014
19971106,127.99071571378393
19971107,126.96584344298991
19971108,126.96584344298991
19971109,126.96584344298991
19971110,131.24952239386863
19971111,133.44133546181146
19971112,132.3247774915802
19971113,133.90870921808232
19971114,133.18637605179381
19971115,133.18637605179381
19971116,133.18637605179381
19971117,134.6637454142075
19971118,129.58381043473926
19971119,131.1606016741022
19971120,132.47218022926208
19971121,139.4308992410756
19971122,139.4308992410756
19971123,139.4308992410756
19971124,137.50819134039656
19971125,141.60650894679847
19971126,136.45727476087657
19971127,140.0342759751649
19971128,133.05704597784273
19971129,133.05704597784273
19971130,133.05704597784273
19971201,133.70681316353713
19971202,128.90575267047407
19971203,121.42622098219077
19971204,114.1183527766707
19971205,117.48059099934979
19971206,117.48059099934979
19971207,117.48059099934979
19971208,118.01309569310122
19971209,114.71682209446567
19971210,114.97518214851908
19971211,116.4386909318131
19971212,118.15771087920326
19971213,118.15771087920326
19971214,118.15771087920326
19971215,116.08812634825215
19971216,116.2144892978552
19971217,124.03122232981507
19971218,120.99011427378218
19971219,124.02210440748827
19971220,124.02210440748827
19971221,124.02210440748827
