Date,Alliance Finance Co PLC
20090515,369.26460160973477
20090516,369.26460160973477
20090517,369.26460160973477
20090518,345.1339321384039
20090519,344.9849914340894
20090520,344.9849914340894
20090521,312.3893586382661
20090522,298.7246296259353
20090523,298.7246296259353
20090524,298.7246296259353
20090525,312.6328237648649
20090526,312.61765330553317
20090527,304.77189482770206
20090528,275.32874190343455
20090529,296.52151633555087
20090530,296.52151633555087
20090531,296.52151633555087
20090601,297.21931302157924
20090602,297.5464840770298
20090603,319.69653743244106
20090604,319.47630993402925
20090605,319.61144382247113
20090606,319.61144382247113
20090607,319.61144382247113
20090608,319.3867656482702
20090609,305.70014954891184
20090610,313.91507078999075
20090611,313.4015457109671
20090612,312.5265391041089
20090613,312.5265391041089
20090614,312.5265391041089
20090615,311.1916875399759
20090616,311.1606738015623
20090617,305.2119027413035
20090618,302.69908099318053
20090619,303.66474817109935
20090620,303.66474817109935
20090621,303.66474817109935
20090622,293.15737648538084
20090623,294.4351815131092
