Date,Al Mal Investment Co KSC
20050519,0.9535388006981604
20050520,0.9535388006981604
20050523,0.782636308028732
20050524,0.8193505707636547
20050525,0.7999313353584151
20050526,0.7999313353584151
20050527,0.7999313353584151
20050530,0.9122922049034262
20050531,0.8727285355469135
20050601,0.7575330415387325
20050602,0.7575330415387325
20050603,0.7575330415387325
20050606,0.5811842773240151
20050607,0.6136798177300515
20050608,0.5964234634029393
20050609,0.5964234634029393
20050610,0.5964234634029393
20050613,0.6670421215283081
20050614,0.6563377957652233
20050615,0.6380343450691041
20050616,0.6380343450691041
20050617,0.6380343450691041
20050620,0.5018558216952431
20050621,0.4968091492443126
20050622,0.47383501891045193
20050623,0.47383501891045193
20050624,0.47383501891045193
20050627,0.4457839316080325
20050628,0.4711642063368374
20050629,0.5003048085184991
20050630,0.5003048085184991
20050701,0.5003048085184991
20050704,0.48285201335612316
20050705,0.3860500122836103
20050706,0.3429554573059019
20050707,0.3429554573059019
20050708,0.3429554573059019
20050711,0.34334293272717836
20050712,0.38257809785579994
20050713,0.35364055099059793
20050714,0.35364055099059793
20050715,0.35364055099059793
20050718,0.40700393927418393
20050719,0.385350793624166
20050720,0.37959330835684907
20050721,0.37959330835684907
20050722,0.37959330835684907
20050725,0.37439811864236466
20050726,0.37567878711740554
20050727,0.3929302657550206
20050728,0.3929302657550206
20050729,0.3929302657550206
20050801,0.4192979848797481
20050802,0.428850243514131
20050803,0.43617493712152583
20050804,0.43617493712152583
20050805,0.43617493712152583
20050808,0.33984486909321104
20050809,0.36242801915994055
20050810,0.3554153631128623
20050811,0.3554153631128623
20050812,0.3554153631128623
20050815,0.27806576484260276
20050816,0.2637449295556261
20050817,0.2895908732036313
20050818,0.2895908732036313
20050819,0.2895908732036313
20050822,0.25408319441470806
20050823,0.22959193546325252
20050824,0.23841667138447706
20050825,0.23841667138447706
20050826,0.23841667138447706
20050829,0.22159945641583287
20050830,0.22058783226653125
20050831,0.2394918504489561
20050901,0.2394918504489561
20050902,0.2394918504489561
20050903,0.2394918504489561
20050905,0.20355077102206548
20050906,0.20242326553925302
20050907,0.19714117957548488
20050908,0.19714117957548488
20050909,0.19714117957548488
20050912,0.16605903288524143
20050913,0.16232040158095856
20050914,0.16250990959908193
20050915,0.16250990959908193
20050916,0.16250990959908193
20050919,0.1332329006352897
20050920,0.13762849500837687
20050921,0.13926445098407395
20050922,0.13926445098407395
20050923,0.13926445098407395
20050926,0.1468734625321447
20050927,0.15486312710772174
20050928,0.1538510277793034
20050929,0.1538510277793034
20050930,0.1538510277793034
20051003,0.07874645283471249
20051004,0.08068604481619973
20051005,0.08437538724454531
20051006,0.08437538724454531
20051007,0.08437538724454531
20051010,0.08982082956920431
20051011,0.09866256180409434
20051012,0.10588859155712219
20051013,0.10588859155712219
20051014,0.10588859155712219
20051017,0.09832085348408927
20051018,0.09743610272246536
