Date,Australia & New Zealand Banking Group Ltd
20070806,43.32462175394624
20070807,42.9004038099926
20070808,40.81868183360517
20070809,39.64116338778956
20070810,42.97545650805374
20070811,42.97545650805374
20070812,42.97545650805374
20070813,42.340108224184604
20070814,43.718907235640955
20070815,46.80055090175315
20070816,51.6115033220872
20070817,50.662507358909316
20070818,50.662507358909316
20070819,50.662507358909316
20070820,44.64628814984319
20070821,43.3376744188428
20070822,43.35490322043239
20070823,40.787327738592126
20070824,40.70102455948429
20070825,40.70102455948429
20070826,40.70102455948429
20070827,39.37558115825571
20070828,40.72196719420635
20070829,42.352527938234665
20070830,44.00016114308903
20070831,43.55810559254112
20070901,43.55810559254112
20070902,43.55810559254112
20070903,43.02405000079342
20070904,43.04153014877771
20070905,43.82139192670724
20070906,45.05746232522065
20070907,45.47044255912564
20070908,45.47044255912564
20070909,45.47044255912564
20070910,45.88094234550727
20070911,44.68245429503746
20070912,44.16195011271052
20070913,44.69268177688672
20070914,43.726978155556786
20070915,43.726978155556786
20070916,43.726978155556786
20070917,45.032289941027194
20070918,48.1674007698788
20070919,44.31800554438128
20070920,44.71259600537915
20070921,45.065045390323505
20070922,45.065045390323505
20070923,45.065045390323505
20070924,43.922378448532335
20070925,44.194796557030756
20070926,42.964874119552846
20070927,41.32953783738582
20070928,40.967727249844174
20070929,40.967727249844174
20070930,40.967727249844174
20071001,40.94185078339653
20071002,39.75971180138875
20071003,38.67728614601541
20071004,38.57248200415338
20071005,37.96188689539142
20071006,37.96188689539142
20071007,37.96188689539142
20071008,36.83639789908503
20071009,36.421231136146844
20071010,35.7346010613528
20071011,35.08521500968306
20071012,35.45876913626565
20071013,35.45876913626565
20071014,35.45876913626565
20071015,36.23603058903825
20071016,37.87116257316924
20071017,37.703168962986666
20071018,36.99656914796185
20071019,37.30006186422736
20071020,37.30006186422736
20071021,37.30006186422736
20071022,38.92337733083149
20071023,36.91546938944918
20071024,37.12485846904796
20071025,52.90782409534
20071026,53.208266864262505
20071027,53.208266864262505
20071028,53.208266864262505
20071029,52.27554739074568
20071030,53.85692727257624
20071031,13.22601597459049
20071101,12.94923885405216
20071102,13.883278104383443
20071103,13.883278104383443
20071104,13.883278104383443
20071105,14.282442436546372
20071106,13.873783922930361
20071107,13.845837518640641
20071108,16.352111748631845
20071109,17.702675602540978
20071110,17.702675602540978
20071111,17.702675602540978
20071112,19.501498262970426
20071113,17.268813825327822
20071114,16.37868412935604
20071115,17.840769988428594
20071116,18.678053655981273
20071117,18.678053655981273
20071118,18.678053655981273
20071119,17.684759976742843
20071120,16.955248696261233
20071121,18.304432348042802
20071122,18.791039191101675
20071123,19.75797910257091
20071124,19.75797910257091
20071125,19.75797910257091
20071126,18.365067362181964
20071127,18.937364928385254
20071128,18.71224873117956
20071129,18.272685767576704
20071130,17.53245534097122
20071201,17.53245534097122
20071202,17.53245534097122
20071203,18.13370507425102
20071204,18.276982041802565
20071205,18.376606198647007
20071206,17.535033895776426
20071207,16.646604527219825
20071208,16.646604527219825
20071209,16.646604527219825
20071210,16.85311867337066
20071211,16.41725854138743
20071212,17.044816814253448
20071213,17.570630471752455
20071214,18.458800332166096
20071215,18.458800332166096
20071216,18.458800332166096
20071217,20.75987725770494
20071218,20.084868455691097
20071219,20.99381400015004
20071220,21.106795277381465
20071221,19.626550859945485
20071222,19.626550859945485
20071223,19.626550859945485
20071224,19.687631630684972
20071225,19.687631630684972
20071226,19.687631630684972
20071227,19.279942453848598
20071228,17.233618720202433
20071229,17.233618720202433
20071230,17.233618720202433
20071231,18.196750795265878
20080101,18.196750795265878
20080102,17.735736505987322
20080103,18.16646802444086
20080104,17.857148122627944
20080105,17.857148122627944
20080106,17.857148122627944
20080107,19.635386718761918
20080108,19.49445794888834
20080109,20.50108504270714
20080110,20.867426152312504
20080111,21.7530052393649
20080112,21.7530052393649
20080113,21.7530052393649
20080114,21.84986570364079
20080115,20.811052279186516
20080116,22.157166703988285
20080117,21.397424005242982
20080118,20.035519985253725
20080119,20.035519985253725
20080120,20.035519985253725
20080121,22.25756576510095
20080122,29.238912308126512
20080123,25.536736700171197
20080124,22.700388874040346
20080125,18.407466168476713
20080126,18.407466168476713
20080127,18.407466168476713
20080128,18.407466168476713
20080129,20.669226383879412
20080130,22.049203114034714
20080131,26.037867079897726
20080201,23.18983170975778
20080202,23.18983170975778
20080203,23.18983170975778
20080204,23.43894730735821
20080205,24.128507562508105
20080206,27.815943650291
20080207,29.590007608406584
20080208,27.390144548893502
20080209,27.390144548893502
20080210,27.390144548893502
20080211,30.07554804189414
20080212,28.16274730233406
20080213,33.889314112648805
20080214,31.388953994850997
20080215,33.55244407581762
20080216,33.55244407581762
20080217,33.55244407581762
20080218,39.89815857608541
20080219,38.7760926515161
20080220,42.30573350449364
20080221,41.76586789577486
20080222,40.20713502244663
20080223,40.20713502244663
20080224,40.20713502244663
20080225,39.05727587190039
20080226,37.440183262962556
20080227,33.86767017764238
20080228,36.33339824267144
20080229,44.45317836238463
20080301,44.45317836238463
20080302,44.45317836238463
