Date,Al-Massaleh Real Estate Co KSC
20050202,6.1458357683663305
20050203,6.1458357683663305
20050204,6.1458357683663305
20050207,5.988961974063211
20050208,6.061407865029136
20050209,6.132067762050294
20050210,6.132067762050294
20050211,6.132067762050294
20050212,6.132067762050294
20050214,6.2674629039283625
20050215,6.250248932304082
20050216,6.430425334064384
20050217,6.434535803615565
20050218,6.434535803615565
20050221,6.57448197715033
20050222,6.784069736815538
20050223,7.234672625424604
20050224,7.234672625424604
20050225,7.234672625424604
20050226,7.234672625424604
20050227,7.234672625424604
20050228,7.008575583743238
20050301,7.16785192500426
20050302,7.254165312159518
20050303,7.254165312159518
20050304,7.254165312159518
20050307,7.2016007048734965
20050308,7.2118648288454255
20050309,7.188145993292203
20050310,7.188145993292203
20050311,7.188145993292203
20050314,6.9950368747861695
