Date,AQ Estate PCL
20060121,27.109685831568687
20060122,27.109685831568687
20060123,28.27146748451643
20060124,26.884644421526975
20060125,24.98447095746283
20060126,25.68296433627459
20060127,26.84236902983279
20060128,26.84236902983279
20060129,26.84236902983279
20060130,27.93318486255062
20060131,26.70005954399421
20060201,26.519554281282566
20060202,29.757166811118573
20060203,28.946959959927437
20060204,28.946959959927437
20060205,28.946959959927437
20060206,28.700195956662323
20060207,28.44134835970419
20060208,28.75937397911558
20060209,28.982301675010234
20060210,28.464228902364713
20060211,28.464228902364713
20060212,28.464228902364713
20060213,28.464228902364713
20060214,29.974985404656348
20060215,29.336883453084972
20060216,28.014945815795066
20060217,26.8765422557309
20060218,26.8765422557309
20060219,26.8765422557309
20060220,28.9264019624096
20060221,29.968941979118664
20060222,28.89842198045794
20060223,29.180934208640487
20060224,27.813840496831254
20060225,27.813840496831254
20060226,27.813840496831254
20060227,22.49799989293316
20060228,20.544787746850243
20060301,20.2940752422747
20060302,27.188109882871547
20060303,27.854161540581345
20060304,27.854161540581345
20060305,27.854161540581345
20060306,29.107252996897603
20060307,32.082404711907465
20060308,34.642278479129025
20060309,33.847372865219235
20060310,34.8060414753712
20060311,34.8060414753712
20060312,34.8060414753712
20060313,36.65356933742506
20060314,33.509619700953394
20060315,32.225629830068705
20060316,33.63819843578107
20060317,33.90400479134035
20060318,33.90400479134035
20060319,33.90400479134035
20060320,35.61649571980024
20060321,36.15883403428434
20060322,38.668085705317885
20060323,40.648563571196675
20060324,39.80940345039176
20060325,39.80940345039176
20060326,39.80940345039176
20060327,34.515799987020415
20060328,38.41177047796732
20060329,39.63618273567011
20060330,38.19749967851495
20060331,52.87453878530294
20060401,52.87453878530294
20060402,52.87453878530294
20060403,50.6422992857322
20060404,48.55422510819412
20060405,46.41505311030927
20060406,46.41505311030927
20060407,48.416990259234204
20060408,48.416990259234204
20060409,48.416990259234204
20060410,53.93511703982932
20060411,54.26506495835209
20060412,57.57035608398067
20060413,57.57035608398067
20060414,57.57035608398067
20060415,57.57035608398067
20060416,57.57035608398067
20060417,58.63266843268075
20060418,61.41716071045373
20060419,61.41716071045373
20060420,62.637630604592005
20060421,65.62358303892285
20060422,65.62358303892285
20060423,65.62358303892285
20060424,67.23269077541359
20060425,69.60213254737583
20060426,72.65293455969825
20060427,72.8825452230506
20060428,78.77078455321009
20060429,78.77078455321009
20060430,78.77078455321009
20060501,78.77078455321009
20060502,83.21331374192944
20060503,84.8977266043912
20060504,90.5230975508375
20060505,90.5230975508375
20060506,90.5230975508375
20060507,90.5230975508375
20060508,88.81992303689059
20060509,88.73875652618977
20060510,87.95454908885529
