Date,Aplus Financial Co Ltd
20130220,45.09260317489473
20130221,45.7535796969145
20130222,47.032995597132924
20130223,47.032995597132924
20130224,47.032995597132924
20130225,44.45334556928851
20130226,35.44226945722004
20130227,34.048878458545374
20130228,36.44342720774547
20130301,36.202692495730446
20130302,36.202692495730446
20130303,36.202692495730446
20130304,35.07743481232706
20130305,36.367370728934134
20130306,37.06028893158906
20130307,39.76511114515873
20130308,38.677123298121344
20130309,38.677123298121344
20130310,38.677123298121344
20130311,37.69245602730703
20130312,39.940745262822226
20130313,40.38378330202927
20130314,38.706106398726696
20130315,39.9710187277261
20130316,39.9710187277261
20130317,39.9710187277261
20130318,41.66516108352121
20130319,43.43684214466494
20130320,43.43684214466494
20130321,30.840090499222022
20130322,36.15026286012637
20130323,36.15026286012637
20130324,36.15026286012637
20130325,32.61785172673653
20130326,34.338658873801876
20130327,32.91251531142696
20130328,34.59959734796545
20130329,38.95050504205595
20130330,38.95050504205595
20130331,38.95050504205595
20130401,44.39700884551968
20130402,42.34632811708405
20130403,42.317328060337054
20130404,36.78826559439782
20130405,39.027952870112024
20130406,39.027952870112024
20130407,39.027952870112024
20130408,28.241884757378056
20130409,32.32770426502373
20130410,35.23661001151018
20130411,35.39502176825545
20130412,36.50932890363376
20130413,36.50932890363376
20130414,36.50932890363376
20130415,38.13444977131305
20130416,36.062021417561894
20130417,36.16703552872313
20130418,36.7276053623103
20130419,36.01864258092997
20130420,36.01864258092997
20130421,36.01864258092997
20130422,34.6370540763654
20130423,30.715610384711127
20130424,32.022181370776195
20130425,33.632971318116994
20130426,35.67397139077855
20130427,35.67397139077855
20130428,35.67397139077855
20130429,35.67397139077855
20130430,39.04855458783356
20130501,40.29054448726146
20130502,40.84301213590626
20130503,40.84301213590626
20130504,40.84301213590626
20130505,40.84301213590626
20130506,40.84301213590626
20130507,40.553929111631426
20130508,30.354446021509265
20130509,31.387665588505964
20130510,31.676311114781296
20130511,31.676311114781296
20130512,31.676311114781296
20130513,24.701391466852687
20130514,29.466789056588762
20130515,36.47887075818967
20130516,33.97170713829229
20130517,32.395197980426374
20130518,32.395197980426374
20130519,32.395197980426374
20130520,30.65642908910696
20130521,31.950979075782136
20130522,33.491209372073776
20130523,39.80871619968858
20130524,38.093718035352516
20130525,38.093718035352516
20130526,38.093718035352516
20130527,42.16385113205639
20130528,41.987567226435985
20130529,40.38685645687218
20130530,43.894538934499494
20130531,48.89988704471807
20130601,48.89988704471807
20130602,48.89988704471807
20130603,60.38394338571545
20130604,44.031573136151735
20130605,51.63926919071511
20130606,57.582142064580815
20130607,59.46526547713018
20130608,59.46526547713018
20130609,59.46526547713018
20130610,52.96870563739566
20130611,53.85411894426678
20130612,52.9256324999877
20130613,57.334557812949654
20130614,58.11595666952623
20130615,58.11595666952623
20130616,58.11595666952623
20130617,56.726312426766356
20130618,57.22704780245981
20130619,57.56129582709531
20130620,60.73671545202164
20130621,62.40641491064385
20130622,62.40641491064385
20130623,62.40641491064385
20130624,63.84768014523198
20130625,65.92103266052942
20130626,79.85911994866316
20130627,76.4429931280646
20130628,76.48993337735241
20130629,76.48993337735241
20130630,76.48993337735241
20130701,67.38180505246017
20130702,63.027059640098
20130703,64.7618289431021
20130704,59.03541908523371
20130705,57.871238242344106
20130706,57.871238242344106
20130707,57.871238242344106
20130708,55.88946069199276
20130709,55.98980081476859
20130710,58.753620266612245
20130711,57.108442504548655
20130712,58.36642981822734
20130713,58.36642981822734
20130714,58.36642981822734
20130715,58.36642981822734
20130716,57.0909704398106
20130717,58.61665044642007
20130718,59.66207641432816
20130719,61.01086127837067
20130720,61.01086127837067
20130721,61.01086127837067
20130722,61.787825103866936
20130723,63.6275803325869
20130724,63.08399104609308
20130725,66.65147457347675
20130726,71.0425605337757
20130727,71.0425605337757
20130728,71.0425605337757
20130729,80.1461558254902
20130730,76.29554883257927
20130731,86.54957923832059
20130801,83.38793792204144
20130802,82.26854800630034
20130803,82.26854800630034
20130804,82.26854800630034
20130805,81.73026498938819
