Date,Asian Pac Holdings Bhd
20081128,117.69954937176124
20081129,117.69954937176124
20081130,117.69954937176124
20081201,129.90391173968376
20081202,129.9438279574212
20081203,130.12829169940886
20081204,128.98596165709148
20081205,117.23385187954304
20081206,117.23385187954304
20081207,117.23385187954304
20081208,117.23385187954304
20081209,114.57179651807067
20081210,112.78428924338525
20081211,110.1934507768697
20081212,119.5058226546209
20081213,119.5058226546209
20081214,119.5058226546209
20081215,109.92785651223673
20081216,119.00013572916222
20081217,116.6132872134081
20081218,109.53594469029474
20081219,103.08260412153352
20081220,103.08260412153352
20081221,103.08260412153352
20081222,111.40503475969425
20081223,122.78745795469078
20081224,112.73013752702806
20081225,112.73013752702806
20081226,112.41239873746386
20081227,112.41239873746386
20081228,112.41239873746386
20081229,112.41239873746386
20081230,108.6238372848524
20081231,113.7677765243361
20090101,113.7677765243361
20090102,112.21504333079271
20090103,112.21504333079271
20090104,112.21504333079271
20090105,94.00301850155651
20090106,94.73975944663894
20090107,101.93383924578566
20090108,103.46979200802524
20090109,103.01523821271248
20090110,103.01523821271248
20090111,103.01523821271248
20090112,101.45595258985446
20090113,100.48471861497465
20090114,99.78808969097884
20090115,108.99500159810273
20090116,101.55124495573686
20090117,101.55124495573686
20090118,101.55124495573686
20090119,108.72136103731545
20090120,99.11382730775493
20090121,101.03442999070852
20090122,100.42137489565197
20090123,108.76170198371607
20090124,108.76170198371607
20090125,108.76170198371607
20090126,108.76170198371607
20090127,108.76170198371607
20090128,112.47338578731873
20090129,103.25224167981017
20090130,102.20777628625237
20090131,102.20777628625237
20090201,102.20777628625237
20090202,102.20777628625237
20090203,109.99376579542138
20090204,94.73215353135325
20090205,104.91137717298949
20090206,101.21902266348751
20090207,101.21902266348751
20090208,101.21902266348751
20090209,101.21902266348751
20090210,99.8777365265882
20090211,107.86031294021298
20090212,102.40173907772255
20090213,108.43876586376862
20090214,108.43876586376862
20090215,108.43876586376862
20090216,110.48398015344036
20090217,112.08795728759657
20090218,121.66851394605064
20090219,115.2495527675833
20090220,128.68474211794927
20090221,128.68474211794927
20090222,128.68474211794927
20090223,116.87809612442332
20090224,120.06184258936275
20090225,123.70601143237191
20090226,126.10742236171889
20090227,115.35593831687063
20090228,115.35593831687063
20090301,115.35593831687063
20090302,127.59629094695987
20090303,124.46279395008388
20090304,114.80873688000167
20090305,111.56552889264023
20090306,112.12962797967036
20090307,112.12962797967036
20090308,112.12962797967036
20090309,112.12962797967036
20090310,110.93554367564842
20090311,124.02280173812164
20090312,116.11923807384031
20090313,127.70100902084323
20090314,127.70100902084323
20090315,127.70100902084323
20090316,125.86050763591597
20090317,115.78841369952549
20090318,106.52521071999884
20090319,115.82321076648542
20090320,115.52892438176814
20090321,115.52892438176814
20090322,115.52892438176814
20090323,100.73470384423074
20090324,108.60356094644698
20090325,109.94973761606397
20090326,99.56687891981542
20090327,110.06030769809198
20090328,110.06030769809198
20090329,110.06030769809198
20090330,111.29115327776137
20090331,107.22554473513604
20090401,100.11918405015548
20090402,89.99488263004065
20090403,88.81346983477387
20090404,88.81346983477387
20090405,88.81346983477387
20090406,83.35557584480826
20090407,85.60073935911846
20090408,88.82277240382054
20090409,88.29343099659324
20090410,80.81421790053295
20090411,80.81421790053295
20090412,80.81421790053295
20090413,71.57600530309885
20090414,63.99503581070021
20090415,64.06124760769771
20090416,63.67331910557753
20090417,68.18434170129603
20090418,68.18434170129603
20090419,68.18434170129603
20090420,63.874088323328216
20090421,59.79352758032268
20090422,64.28936642951138
20090423,52.75303730927572
20090424,44.795843370463835
20090425,44.795843370463835
20090426,44.795843370463835
20090427,48.351666162708675
20090428,52.62271997382525
20090429,54.012687905247034
20090430,47.74053105957169
20090501,47.74053105957169
20090502,47.74053105957169
20090503,47.74053105957169
20090504,42.9861738333661
20090505,48.27955622194609
20090506,38.165731791437835
20090507,38.43011602262207
20090508,32.97817970667958
20090509,32.97817970667958
20090510,32.97817970667958
20090511,31.106361091123265
20090512,31.543331251329153
20090513,29.89927533165965
20090514,30.057544224187705
20090515,36.31129324001937
20090516,36.31129324001937
20090517,36.31129324001937
20090518,37.35629119568129
20090519,36.9458052502188
20090520,37.014325380517874
20090521,42.023686370240306
20090522,40.27074659414355
20090523,40.27074659414355
20090524,40.27074659414355
20090525,36.26687931026554
20090526,41.08334251511905
20090527,39.429797973415226
20090528,39.25140697674585
20090529,40.533804572574084
20090530,40.533804572574084
20090531,40.533804572574084
20090601,38.36477988548795
20090602,40.261014827151655
20090603,40.14891384925092
20090604,39.88411920898425
20090605,34.30127708826306
20090606,34.30127708826306
20090607,34.30127708826306
20090608,35.08408432605922
20090609,33.883732240019164
20090610,30.697262768883043
20090611,31.146600459200116
20090612,25.998031095058888
20090613,25.998031095058888
20090614,25.998031095058888
20090615,29.61899865725564
20090616,31.241804297007622
20090617,32.37834630966445
20090618,37.25916123449064
20090619,40.04205233256667
20090620,40.04205233256667
20090621,40.04205233256667
20090622,39.53264960401628
20090623,39.395649696793114
20090624,36.75333290402773
20090625,35.49573434138527
20090626,35.91802081037295
20090627,35.91802081037295
20090628,35.91802081037295
20090629,35.31950855107198
20090630,36.17049349282289
20090701,34.36037678403158
20090702,39.706153711663
20090703,39.53116268413129
20090704,39.53116268413129
20090705,39.53116268413129
20090706,47.10466081013078
20090707,43.84810736476782
20090708,47.62809194423663
20090709,43.73788690607304
20090710,44.24792898453048
20090711,44.24792898453048
20090712,44.24792898453048
20090713,48.321027462230624
20090714,42.49936633025088
20090715,39.09232868927213
20090716,40.39850191018197
20090717,37.987439676330595
20090718,37.987439676330595
20090719,37.987439676330595
20090720,36.12375027731893
20090721,39.07423252774041
20090722,40.15768696110758
20090723,34.67214308306695
20090724,36.4200399401516
20090725,36.4200399401516
20090726,36.4200399401516
20090727,35.577990026661986
20090728,35.19608295845707
20090729,36.50129712772264
20090730,37.61786383811992
20090731,37.8622028877448
20090801,37.8622028877448
20090802,37.8622028877448
20090803,34.75265646022835
20090804,36.628826544338295
20090805,34.323515686086154
20090806,33.716451181220265
20090807,34.089572576520894
20090808,34.089572576520894
20090809,34.089572576520894
20090810,32.87484061498222
20090811,31.023349297249247
20090812,35.02082822538825
20090813,31.606687150995747
20090814,34.032391260564914
20090815,34.032391260564914
20090816,34.032391260564914
20090817,34.99493892434734
20090818,35.18139546466202
20090819,35.40288138911671
20090820,36.57429338995892
20090821,35.31958577101047
20090822,35.31958577101047
20090823,35.31958577101047
20090824,35.533286340821554
20090825,33.45829697315366
20090826,28.478400373514464
20090827,29.359291499544245
20090828,31.581019239203762
20090829,31.581019239203762
20090830,31.581019239203762
20090831,31.581019239203762
20090901,32.89182424135363
20090902,33.183738584627484
20090903,32.76309089153228
20090904,32.6224516042359
20090905,32.6224516042359
20090906,32.6224516042359
20090907,30.369463452919874
20090908,30.27915152842694
20090909,29.99492087356627
20090910,31.903135588282378
20090911,29.929101351468614
20090912,29.929101351468614
20090913,29.929101351468614
20090914,29.822072961285276
20090915,31.283137301724903
20090916,30.433789499117676
20090917,30.483650925119328
20090918,27.80319637205134
20090919,27.80319637205134
20090920,27.80319637205134
20090921,27.80319637205134
20090922,27.80319637205134
20090923,28.81773119282897
20090924,29.083330961108864
20090925,30.51099939418355
20090926,30.51099939418355
20090927,30.51099939418355
20090928,30.900241988299307
20090929,29.749168361174807
20090930,28.844101023177227
20091001,31.461889641288657
20091002,34.17998600163374
20091003,34.17998600163374
20091004,34.17998600163374
20091005,32.83290862734558
20091006,32.65879531017667
20091007,31.795566238000838
20091008,29.163931479513888
20091009,29.901099197826404
20091010,29.901099197826404
20091011,29.901099197826404
20091012,31.3422885671352
20091013,28.95084617090491
20091014,27.96009616022376
20091015,27.900989065119568
20091016,25.62934204263558
20091017,25.62934204263558
20091018,25.62934204263558
20091019,25.419321832490805
20091020,27.051222055353865
20091021,27.434350815474595
20091022,27.423119229030508
20091023,27.055636604683936
20091024,27.055636604683936
20091025,27.055636604683936
20091026,28.79639231586715
20091027,27.39022512356669
20091028,29.696481030069837
20091029,30.24370804391744
20091030,25.134693536773053
20091031,25.134693536773053
20091101,25.134693536773053
20091102,26.78488943286466
20091103,24.69206493531791
20091104,24.46940422456287
20091105,24.555056720032496
20091106,24.513200931002057
20091107,24.513200931002057
20091108,24.513200931002057
20091109,22.884950265207767
20091110,24.80380228307477
20091111,26.418434255612677
20091112,24.502166736943735
20091113,24.85935009874448
20091114,24.85935009874448
20091115,24.85935009874448
20091116,24.13814835726327
20091117,25.636417153268663
20091118,25.689810233976697
20091119,25.338038068595882
20091120,25.414094781762476
20091121,25.414094781762476
20091122,25.414094781762476
20091123,27.087692046067524
20091124,26.809776560029274
20091125,28.78718264291531
20091126,29.134397068983734
20091127,29.134397068983734
20091128,29.134397068983734
20091129,29.134397068983734
20091130,28.263470454155648
20091201,25.541937301907076
20091202,25.345793587363623
20091203,25.090796094515564
20091204,24.55856961210282
20091205,24.55856961210282
20091206,24.55856961210282
20091207,26.293708485441584
20091208,24.89701491549323
20091209,27.051563764150337
20091210,25.531381249276432
20091211,27.847411316405868
20091212,27.847411316405868
20091213,27.847411316405868
20091214,25.888749088982713
20091215,27.312462918106707
20091216,27.071419497590366
20091217,27.471404083070198
20091218,27.471404083070198
20091219,27.471404083070198
20091220,27.471404083070198
20091221,26.084045460580732
20091222,28.00043897558062
20091223,27.960777008899285
20091224,28.68480806908754
20091225,28.68480806908754
20091226,28.68480806908754
20091227,28.68480806908754
20091228,28.08034429875952
20091229,24.967904786218796
20091230,26.055526410153437
20091231,27.747666359583686
20100101,27.747666359583686
20100102,27.747666359583686
20100103,27.747666359583686
20100104,26.315398591630462
20100105,23.305947912196903
20100106,22.419068726151533
20100107,22.593365688010092
20100108,21.686563670543247
20100109,21.686563670543247
20100110,21.686563670543247
20100111,19.71553772897128
20100112,19.51242440636924
20100113,22.279571143466814
20100114,20.08446863905217
20100115,23.098800049153038
20100116,23.098800049153038
20100117,23.098800049153038
20100118,21.917161394417583
20100119,23.202035246731914
20100120,21.796800466136485
20100121,22.084764789959817
20100122,23.69129797987429
20100123,23.69129797987429
20100124,23.69129797987429
20100125,23.529370312255956
20100126,26.400911939096503
20100127,27.6284686720788
20100128,25.539174640884806
20100129,25.38706630954866
20100130,25.38706630954866
20100131,25.38706630954866
20100201,25.38706630954866
20100202,26.83266669726749
20100203,25.374261980730186
20100204,27.258989732558103
20100205,25.89093544227076
20100206,25.89093544227076
20100207,25.89093544227076
20100208,27.99956112061521
20100209,26.296487381835515
20100210,26.39370830824023
20100211,28.044182088956454
20100212,26.269582835851445
20100213,26.269582835851445
20100214,26.269582835851445
20100215,26.269582835851445
20100216,26.269582835851445
20100217,26.236019640989124
20100218,25.759366927889232
20100219,28.132277196702162
20100220,28.132277196702162
20100221,28.132277196702162
20100222,26.131999293818627
20100223,26.036439927735206
20100224,28.659555378731735
20100225,28.481943573950627
20100226,28.481943573950627
20100227,28.481943573950627
20100228,28.481943573950627
20100301,32.381812856333454
20100302,32.762146779227486
20100303,30.198732772661604
20100304,32.728968325144486
20100305,29.6734909777823
20100306,29.6734909777823
20100307,29.6734909777823
20100308,28.794348254270407
20100309,30.902771719540432
20100310,28.365007265303117
20100311,30.29229101734448
20100312,30.470360339358546
20100313,30.470360339358546
20100314,30.470360339358546
20100315,30.218288934240135
20100316,30.306114325486956
20100317,27.857432508072854
20100318,29.03907156245125
20100319,29.393453064994176
20100320,29.393453064994176
20100321,29.393453064994176
20100322,29.264395602707395
20100323,28.655303572600953
20100324,26.899550660859184
20100325,28.589434371788556
20100326,28.5000046599811
20100327,28.5000046599811
20100328,28.5000046599811
20100329,27.766320248335962
20100330,28.06498390151335
20100331,27.68532871821462
20100401,25.815495242027335
20100402,27.901464269380114
20100403,27.901464269380114
20100404,27.901464269380114
20100405,25.175589287664618
20100406,27.66266448547061
20100407,26.762759421538224
20100408,26.520147332770133
20100409,24.45644444078792
20100410,24.45644444078792
