Date,Anadolu Hayat Emeklilik AS
20040625,31.608890024412407
20040626,31.608890024412407
20040627,31.608890024412407
20040628,33.956212650830054
20040629,34.267945350859506
20040630,36.293011819754405
20040701,34.375670302551
20040702,34.29416975980562
20040703,34.29416975980562
20040704,34.29416975980562
20040705,34.43677860243145
20040706,35.47866161685107
20040707,35.23714402361935
20040708,36.44145544707649
20040709,35.752130779147265
20040710,35.752130779147265
20040711,35.752130779147265
20040712,35.55603794333644
20040713,35.58795068525284
20040714,34.81876374256891
20040715,34.737522828108496
20040716,32.65388668945417
20040717,32.65388668945417
20040718,32.65388668945417
20040719,33.94605099577525
20040720,31.34309956159038
20040721,32.98350537816009
20040722,32.329261603221205
20040723,29.85386711255993
20040724,29.85386711255993
20040725,29.85386711255993
20040726,31.44034889850161
20040727,28.96028584313929
20040728,25.452331180045892
20040729,24.543505001722032
20040730,21.582960611448332
20040731,21.582960611448332
20040801,21.582960611448332
20040802,21.266905375507235
20040803,22.57497427443484
20040804,24.529749689231643
20040805,24.009079803126127
20040806,25.634632144858966
20040807,25.634632144858966
20040808,25.634632144858966
20040809,27.20862937411638
20040810,25.037210683651132
20040811,27.418276029646762
20040812,28.256032100675576
20040813,27.516611528904285
20040814,27.516611528904285
20040815,27.516611528904285
20040816,28.38522317189297
20040817,25.50208559455089
20040818,27.458795213960276
20040819,27.549267122961158
20040820,27.53705200173099
20040821,27.53705200173099
20040822,27.53705200173099
20040823,30.18903780719823
20040824,28.58399452915873
20040825,29.485448744493596
20040826,29.483923238275175
20040827,28.149180547018148
20040828,28.149180547018148
20040829,28.149180547018148
20040830,28.149180547018148
20040831,27.16622765197785
20040901,25.967591229175344
20040902,25.900598466834182
20040903,22.759359560618158
20040904,22.759359560618158
20040905,22.759359560618158
20040906,20.703396565131836
20040907,19.53920936034527
20040908,20.695362067991788
20040909,19.529958663344484
20040910,19.88711558564597
20040911,19.88711558564597
20040912,19.88711558564597
20040913,17.83967213711447
20040914,15.377530072622383
20040915,15.127501487810877
20040916,15.52262832663135
20040917,17.614534591408667
20040918,17.614534591408667
20040919,17.614534591408667
20040920,20.03854581357111
20040921,18.68595015807371
20040922,17.9062210987223
20040923,17.157796779818984
20040924,17.343939018347072
20040925,17.343939018347072
20040926,17.343939018347072
20040927,17.98413142824553
20040928,17.905107043808123
20040929,16.79084871735174
20040930,16.961946411648263
20041001,18.01865772628222
20041002,18.01865772628222
20041003,18.01865772628222
20041004,18.42552680989946
20041005,21.575947970780586
20041006,20.687040703557155
20041007,19.89363263224328
20041008,18.409601816126834
20041009,18.409601816126834
20041010,18.409601816126834
20041011,18.773321245921824
20041012,19.837070776077503
20041013,19.544580184462113
20041014,20.24704640303333
20041015,21.17621712553557
20041016,21.17621712553557
20041017,21.17621712553557
20041018,20.63984942214046
20041019,21.447618443466986
20041020,22.82374586000958
20041021,22.341057606633754
20041022,21.630283554308452
20041023,21.630283554308452
20041024,21.630283554308452
20041025,22.229878444471073
20041026,21.74302276871495
20041027,19.30821788125593
20041028,17.91937155612473
20041029,17.91937155612473
20041030,17.91937155612473
20041031,17.91937155612473
20041101,20.527091917058346
20041102,20.35503393560437
20041103,21.588558788662542
20041104,22.117920328319784
20041105,22.00653744965979
20041106,22.00653744965979
20041107,22.00653744965979
20041108,22.797802185920663
20041109,23.56002237859427
20041110,22.760096819426202
20041111,23.06725858872051
20041112,24.212957567714437
20041113,24.212957567714437
20041114,24.212957567714437
20041115,24.212957567714437
20041116,24.212957567714437
20041117,26.11865988603473
20041118,24.89597122183176
20041119,24.903211009457152
20041120,24.903211009457152
20041121,24.903211009457152
20041122,23.57570450162444
20041123,23.507390937585157
20041124,20.33456720966754
20041125,21.977649032463255
20041126,22.566789287826015
20041127,22.566789287826015
20041128,22.566789287826015
20041129,25.923752577829124
20041130,27.106132571272983
20041201,28.659653519911735
20041202,27.409357773825974
20041203,27.84243056766102
20041204,27.84243056766102
20041205,27.84243056766102
20041206,28.274574555708742
20041207,28.291098738750094
20041208,30.475224155104538
20041209,32.355826723629896
20041210,29.53675027874023
20041211,29.53675027874023
20041212,29.53675027874023
20041213,27.80354786190331
20041214,27.40439865690526
20041215,27.63737139548082
