Date,Allahabad Bank
20041113,60.36340823483284
20041114,60.36340823483284
20041115,60.36340823483284
20041116,56.653877043431166
20041117,51.27555178852506
20041118,47.55173829749918
20041119,51.317301958298
20041120,51.317301958298
20041121,51.317301958298
20041122,49.24377316454075
20041123,48.54449739617751
20041124,47.74037213814708
20041125,47.90942881785902
20041126,47.90942881785902
20041127,47.90942881785902
20041128,47.90942881785902
20041129,48.93084463418419
20041130,48.919505730984056
20041201,45.85197314289094
20041202,38.94956874933246
20041203,41.543462929398686
20041204,41.543462929398686
20041205,41.543462929398686
20041206,40.52519541628586
20041207,40.65072995365217
20041208,41.36363131308445
20041209,40.5479049082597
20041210,43.431570092760765
20041211,43.431570092760765
20041212,43.431570092760765
20041213,41.81196266820286
20041214,41.784505120931634
20041215,42.74016199396591
