Date,ALTA SA
20110601,11.058401943318145
20110602,12.111140941390564
20110603,11.457133774719708
20110604,11.457133774719708
20110605,11.457133774719708
20110606,11.924991605982894
20110607,11.47188738481538
20110608,11.784841152220016
20110609,11.16762820806394
20110610,11.069065739189465
20110611,11.069065739189465
20110612,11.069065739189465
20110613,11.23452467556759
20110614,11.107774689187709
20110615,12.245433848181214
20110616,12.928325141053497
20110617,12.5077444230619
20110618,12.5077444230619
20110619,12.5077444230619
20110620,12.779100505323074
20110621,13.130755704404075
20110622,14.328064775508563
20110623,14.328064775508563
20110624,14.049217996047677
20110625,14.049217996047677
20110626,14.049217996047677
20110627,13.969146297447008
20110628,14.276702282744257
20110629,13.93116155135092
20110630,13.264813716791943
20110701,12.926881940226005
20110702,12.926881940226005
20110703,12.926881940226005
20110704,13.04760695800267
20110705,13.420585275970234
20110706,13.925064634916236
20110707,13.933179913442947
20110708,14.4514620875077
20110709,14.4514620875077
20110710,14.4514620875077
20110711,15.734399956076201
20110712,16.555379727926102
20110713,16.10897308380388
20110714,16.98532449361443
20110715,16.43178083249252
20110716,16.43178083249252
20110717,16.43178083249252
20110718,19.094035888266642
20110719,18.20414205956586
20110720,17.304645840152297
20110721,17.105084699553938
20110722,16.56591769700262
20110723,16.56591769700262
20110724,16.56591769700262
20110725,16.444162166332728
20110726,14.72297007365635
20110727,15.247529475371955
20110728,16.019064337894537
20110729,16.40027244542638
20110730,16.40027244542638
20110731,16.40027244542638
20110801,16.476201212554006
20110802,18.734211694148325
20110803,19.767005634627786
20110804,21.81520984274021
20110805,23.356621467573802
20110806,23.356621467573802
20110807,23.356621467573802
20110808,28.772203187981553
20110809,33.2396609730593
20110810,35.744875078674255
20110811,27.01652954394356
20110812,26.196271208956237
20110813,26.196271208956237
20110814,26.196271208956237
20110815,26.196271208956237
20110816,25.53764073484928
20110817,22.309676214826396
20110818,30.146691522929867
20110819,28.59525614849811
20110820,28.59525614849811
20110821,28.59525614849811
20110822,32.29117481444386
20110823,32.375313448636014
20110824,30.818089374529954
20110825,30.339311191146333
20110826,30.16348551382804
20110827,30.16348551382804
20110828,30.16348551382804
20110829,28.35561253965719
20110830,27.763945990462318
20110831,28.83562991289372
20110901,33.36347416449375
20110902,33.18741929490911
20110903,33.18741929490911
20110904,33.18741929490911
20110905,38.64617124807694
20110906,40.35221964734623
20110907,36.36919085895558
20110908,36.849608650634835
20110909,39.04908692427041
20110910,39.04908692427041
20110911,39.04908692427041
20110912,46.03178521213755
20110913,47.136170469806395
20110914,49.67690061216282
20110915,47.57878583172772
20110916,45.68701573766818
20110917,45.68701573766818
20110918,45.68701573766818
20110919,48.54989696936969
20110920,48.29074294554302
20110921,47.453179929331235
20110922,55.474791621264906
20110923,51.01161853388383
20110924,51.01161853388383
20110925,51.01161853388383
20110926,52.21981419491345
20110927,44.95243035819425
20110928,46.716079755078184
20110929,40.16485293499265
20110930,38.496855483285096
20111001,38.496855483285096
20111002,38.496855483285096
20111003,36.18091961222265
20111004,40.189930924556265
20111005,38.76929428099517
20111006,39.42445227131968
20111007,39.339056471944026
20111008,39.339056471944026
20111009,39.339056471944026
20111010,35.932102519068245
20111011,33.8203552880647
20111012,30.22468384328843
20111013,30.865938697721152
20111014,31.914362710622736
20111015,31.914362710622736
20111016,31.914362710622736
20111017,33.99910294865649
20111018,37.12055824441048
20111019,34.251497329084415
20111020,36.953307345390066
20111021,35.27648003276578
20111022,35.27648003276578
20111023,35.27648003276578
20111024,33.75086901401372
20111025,35.46504994260913
20111026,34.95280014913486
20111027,30.90983087512369
20111028,31.37040101366606
20111029,31.37040101366606
20111030,31.37040101366606
20111031,32.88942710780219
20111101,32.88942710780219
20111102,35.223977172852344
20111103,32.065561119016984
20111104,33.60116900596987
20111105,33.60116900596987
20111106,33.60116900596987
20111107,35.11484446621241
20111108,33.25133339077321
20111109,36.749194493619456
20111110,31.464231608104207
20111111,31.464231608104207
20111112,31.464231608104207
20111113,31.464231608104207
20111114,33.389473688570014
20111115,32.40770520153761
20111116,32.69606912128556
20111117,34.88040151190927
20111118,33.77254722601715
20111119,33.77254722601715
20111120,33.77254722601715
20111121,37.76428444634163
20111122,36.692992406259755
20111123,37.370516659759964
20111124,36.77781209111563
20111125,35.377772929549685
20111126,35.377772929549685
20111127,35.377772929549685
20111128,34.2035313069604
20111129,36.22102585904809
20111130,32.97722013922385
20111201,32.94150811897601
20111202,33.207609631961965
20111203,33.207609631961965
20111204,33.207609631961965
20111205,31.031271951985165
20111206,33.853743228737436
20111207,33.81394359141334
20111208,36.04143658545664
20111209,37.67108226338616
20111210,37.67108226338616
20111211,37.67108226338616
20111212,41.33866474310347
20111213,42.186000286576174
20111214,43.66048950758883
20111215,41.96358578705254
20111216,41.304706408980486
20111217,41.304706408980486
20111218,41.304706408980486
20111219,41.016803282016845
20111220,39.921010688155874
20111221,41.248881264031255
20111222,43.67491185075793
20111223,44.61035821195103
20111224,44.61035821195103
20111225,44.61035821195103
20111226,44.61035821195103
20111227,44.68383638617521
20111228,45.5904222060537
20111229,42.78340293645147
20111230,39.28387193540628
20111231,39.28387193540628
20120101,39.28387193540628
20120102,38.514487380465845
20120103,39.70519074689779
20120104,40.31812767512226
20120105,41.162184140052
20120106,41.162184140052
20120107,41.162184140052
20120108,41.162184140052
20120109,40.79513474724405
20120110,40.294560213919574
20120111,38.97073861541429
20120112,27.91716129099915
20120113,28.901919262524316
20120114,28.901919262524316
20120115,28.901919262524316
20120116,26.625335786599937
20120117,27.895633852364497
20120118,25.145702785854873
20120119,25.79921210869155
20120120,24.727501232081703
20120121,24.727501232081703
20120122,24.727501232081703
20120123,23.867146843078906
20120124,23.322335043479033
20120125,23.148309540902872
20120126,22.569138064851536
20120127,22.007410231657495
20120128,22.007410231657495
20120129,22.007410231657495
20120130,22.032135302496695
20120131,19.361147101700766
20120201,18.21144319341785
20120202,19.033816258196097
20120203,19.287603768948916
20120204,19.287603768948916
20120205,19.287603768948916
20120206,18.985968814727507
20120207,20.145568654046862
20120208,16.69724426455161
20120209,16.475311049205757
20120210,19.10715027545882
20120211,19.10715027545882
20120212,19.10715027545882
20120213,18.6175074190786
20120214,18.454441741316586
20120215,18.183451551403582
20120216,18.382304030193946
20120217,16.895173218271843
20120218,16.895173218271843
20120219,16.895173218271843
20120220,15.824152754346068
20120221,15.713531118437247
20120222,16.410073825006567
20120223,17.665057100334792
20120224,16.904192382020724
20120225,16.904192382020724
20120226,16.904192382020724
20120227,16.11635030809837
20120228,16.06496937288589
20120229,14.005226887593215
20120301,13.159350735293701
20120302,13.111684728548845
20120303,13.111684728548845
20120304,13.111684728548845
20120305,14.523791864891967
20120306,17.110875984979273
20120307,16.50553592511196
20120308,15.580646288454723
20120309,16.629353786313292
20120310,16.629353786313292
20120311,16.629353786313292
20120312,17.9203614824443
20120313,18.11584831530224
20120314,18.053140036035188
20120315,19.359978503814744
20120316,18.037915448435264
20120317,18.037915448435264
20120318,18.037915448435264
20120319,18.460106799404848
20120320,20.88515000124155
20120321,21.638805655403644
20120322,22.988994500389758
20120323,22.473682227409217
20120324,22.473682227409217
20120325,22.473682227409217
20120326,19.473194905785657
20120327,20.984049194584035
20120328,21.35462522586798
20120329,21.670890243224925
20120330,24.84025275653954
20120331,24.84025275653954
20120401,24.84025275653954
20120402,26.096684036638496
20120403,26.225336758170403
20120404,27.697510880170686
20120405,27.69574528776427
20120406,27.69574528776427
20120407,27.69574528776427
20120408,27.69574528776427
20120409,27.69574528776427
20120410,30.508196326901704
20120411,30.703212000583374
20120412,29.87347199207381
20120413,30.906998535304528
20120414,30.906998535304528
20120415,30.906998535304528
20120416,31.91096259455952
20120417,32.089284876885245
20120418,32.12618188596776
20120419,32.39476725765879
20120420,32.259589338340135
20120421,32.259589338340135
20120422,32.259589338340135
20120423,33.92027316431109
20120424,33.74981381521936
20120425,34.67693022672618
20120426,36.70592019189136
20120427,37.7055035550697
20120428,37.7055035550697
20120429,37.7055035550697
20120430,34.062624279245185
20120501,34.062624279245185
20120502,33.25530552329707
20120503,33.25530552329707
20120504,35.341133430983334
20120505,35.341133430983334
20120506,35.341133430983334
20120507,37.42494467107648
20120508,37.2770491501887
20120509,37.586953267599576
20120510,37.58465720320776
20120511,39.54853680989384
