Date,Agat Ejendomme A/S
20080903,19.18592731889757
20080904,22.703847870628163
20080905,24.934213798394342
20080906,24.934213798394342
20080907,24.934213798394342
20080908,22.734804493236147
20080909,23.125546830609355
20080910,24.264757854308385
20080911,27.740636649244053
20080912,25.635498966464407
20080913,25.635498966464407
20080914,25.635498966464407
20080915,28.794662541509727
20080916,28.36038699336292
20080917,32.221872562344586
20080918,32.21109684997
20080919,31.506034583316552
20080920,31.506034583316552
20080921,31.506034583316552
20080922,30.309758220196503
20080923,34.68815801609251
20080924,32.51759067881279
20080925,32.33104806585245
20080926,34.64748119530034
20080927,34.64748119530034
20080928,34.64748119530034
20080929,55.041422982978354
20080930,76.3552599256085
20081001,67.7489009027494
20081002,68.31108645035087
20081003,59.63995245117727
20081004,59.63995245117727
20081005,59.63995245117727
20081006,80.89179769301556
20081007,105.36311141380945
20081008,108.99825842888241
20081009,102.79787365919897
20081010,126.92410033930783
20081011,126.92410033930783
20081012,126.92410033930783
20081013,101.76325878270947
20081014,73.1353348526185
20081015,93.8636969887071
20081016,95.94062791484362
20081017,94.80896030866334
20081018,94.80896030866334
20081019,94.80896030866334
20081020,92.87780354702069
20081021,87.13140593186128
20081022,107.96471095962502
20081023,124.29884826740279
20081024,145.04235251050522
20081025,145.04235251050522
20081026,145.04235251050522
20081027,145.0179793520004
20081028,140.19320737074872
20081029,110.6112312963608
20081030,86.09039282632101
20081031,88.85821367941524
20081101,88.85821367941524
20081102,88.85821367941524
20081103,95.50421437610514
20081104,90.45354793739997
20081105,91.68895477633683
20081106,94.71746052103087
20081107,97.98391775879361
20081108,97.98391775879361
20081109,97.98391775879361
20081110,96.7343336720461
20081111,98.70190701098686
20081112,95.95775004159006
20081113,95.24125196924632
20081114,90.75960009657291
20081115,90.75960009657291
20081116,90.75960009657291
20081117,85.84294303035806
20081118,89.76616583963404
20081119,99.11599843572445
20081120,101.69117164949806
20081121,98.78505812948335
20081122,98.78505812948335
20081123,98.78505812948335
20081124,88.54191680486316
20081125,91.2318285039582
20081126,87.99203301463082
20081127,84.05112253547729
20081128,74.74065059742297
20081129,74.74065059742297
20081130,74.74065059742297
20081201,74.22851567802681
20081202,78.41255496775246
20081203,77.95481232398609
