Date,Andhra Bank
20080428,15.640553708792847
20080429,14.92973385470317
20080430,14.446195050068042
20080501,14.446195050068042
20080502,13.892093113134244
20080503,13.892093113134244
20080504,13.892093113134244
20080505,13.828294387482297
20080506,14.216462347026702
20080507,15.29998582415381
20080508,15.747457530282269
20080509,16.032361438871327
20080510,16.032361438871327
20080511,16.032361438871327
20080512,16.84152869574976
20080513,16.64121080115348
20080514,16.411712254691505
20080515,15.813027490187704
20080516,16.297210860293248
20080517,16.297210860293248
20080518,16.297210860293248
20080519,16.297210860293248
20080520,16.424744881652074
20080521,16.798542566782203
20080522,17.158814567537856
20080523,16.836249680503133
20080524,16.836249680503133
20080525,16.836249680503133
20080526,18.64445260849414
20080527,20.333940164248645
20080528,20.378314310256222
20080529,19.610074814512146
20080530,19.399901885979503
20080531,19.399901885979503
20080601,19.399901885979503
20080602,21.31161619530094
20080603,21.80148674864821
20080604,23.595378290636273
20080605,23.5849126308467
20080606,23.799909223009877
20080607,23.799909223009877
20080608,23.799909223009877
20080609,26.68912328853763
20080610,27.142975419467053
20080611,26.17603613249173
20080612,27.619050283200483
20080613,27.69703852236086
20080614,27.69703852236086
20080615,27.69703852236086
20080616,26.47431350619056
20080617,25.726645815003632
20080618,26.38306332835128
20080619,28.590504458552434
20080620,32.82726429053531
20080621,32.82726429053531
20080622,32.82726429053531
20080623,37.21284767617894
20080624,38.360085066105775
20080625,39.65288596427055
20080626,39.77425179948012
20080627,46.378472448336275
20080628,46.378472448336275
20080629,46.378472448336275
20080630,53.71592212197571
20080701,61.95144048074081
20080702,56.779792970671465
20080703,61.33853153691674
20080704,61.10536290424849
20080705,61.10536290424849
20080706,61.10536290424849
20080707,59.13634403823583
20080708,60.47723844645888
20080709,55.89982417983882
20080710,55.451463743541325
20080711,59.4925053955596
20080712,59.4925053955596
20080713,59.4925053955596
20080714,60.375387590870346
20080715,67.74667022364707
20080716,67.94754707922219
20080717,67.37376811966996
20080718,61.524991062379236
20080719,61.524991062379236
20080720,61.524991062379236
20080721,60.098527699554296
20080722,58.40991364204384
20080723,50.81053188391174
20080724,52.23383488637302
20080725,56.58537390446119
20080726,56.58537390446119
20080727,56.58537390446119
20080728,53.89545050903947
20080729,57.237392287050874
20080730,55.24386736397069
20080731,60.401005206142074
20080801,52.024151532020504
20080802,52.024151532020504
20080803,52.024151532020504
20080804,49.6120269822566
20080805,44.33504655295488
20080806,46.07587588576919
20080807,46.201681282074134
20080808,46.16963555163463
20080809,46.16963555163463
20080810,46.16963555163463
20080811,42.73154071130015
20080812,43.29845034470777
20080813,46.18136975157263
20080814,50.12573906527005
20080815,50.12573906527005
20080816,50.12573906527005
20080817,50.12573906527005
20080818,50.079263246454715
20080819,51.977246189147614
20080820,52.404058685913306
20080821,53.87436997576855
20080822,54.233727071581484
20080823,54.233727071581484
20080824,54.233727071581484
20080825,53.705147603727504
20080826,52.177803279653894
20080827,56.00096623794929
20080828,59.775322747002846
20080829,51.88178350482789
20080830,51.88178350482789
20080831,51.88178350482789
20080901,50.816664159265045
20080902,48.71689882699219
20080903,48.71689882699219
20080904,48.22157075494582
20080905,50.09227311743559
20080906,50.09227311743559
20080907,50.09227311743559
20080908,48.14280315455608
20080909,48.38483907681178
20080910,50.176514434970436
20080911,50.882270420460635
20080912,52.45460404625464
20080913,52.45460404625464
20080914,52.45460404625464
20080915,59.440302824688324
