Date,AMP Ltd
20040715,85.58513227590579
20040716,85.43970098421961
20040717,85.43970098421961
20040718,85.43970098421961
20040719,83.72054932661163
20040720,84.61471886211835
20040721,83.25680099995536
20040722,85.08762930835472
20040723,87.49110254165001
20040724,87.49110254165001
20040725,87.49110254165001
20040726,90.74538816191944
20040727,91.11633562528019
20040728,93.53048629308132
20040729,93.98607413175989
20040730,87.86963573069035
20040731,87.86963573069035
20040801,87.86963573069035
20040802,86.15082432071948
20040803,85.31053993367706
20040804,85.73484974706172
20040805,81.37927968101143
20040806,77.024620593993
20040807,77.024620593993
20040808,77.024620593993
20040809,76.98045583405361
20040810,79.91839667076376
20040811,81.38205785659702
20040812,80.83614494062051
20040813,82.67946568468774
20040814,82.67946568468774
20040815,82.67946568468774
20040816,81.79645749625755
20040817,80.15474281759603
20040818,108.16845291110508
20040819,110.06165362083539
20040820,108.67458858327946
20040821,108.67458858327946
20040822,108.67458858327946
20040823,106.25778394922887
20040824,104.22674052171963
20040825,104.56672969733005
20040826,104.51220554806568
20040827,105.26089809226579
20040828,105.26089809226579
20040829,105.26089809226579
20040830,110.21937061591403
20040831,138.45836487854888
20040901,137.70555208154818
20040902,136.24625048762255
20040903,135.2691906659616
20040904,135.2691906659616
20040905,135.2691906659616
20040906,136.71772895892133
20040907,136.1793320720502
20040908,136.07015264215534
20040909,133.27885524622036
20040910,132.8953204464607
20040911,132.8953204464607
20040912,132.8953204464607
20040913,132.07136904048608
20040914,130.49361215549632
20040915,130.0651884554392
20040916,134.50747758883708
20040917,135.4179335185073
20040918,135.4179335185073
20040919,135.4179335185073
20040920,134.8974365971589
20040921,134.46833653153413
20040922,132.0312861697768
20040923,130.86275693517777
20040924,132.79297195074784
20040925,132.79297195074784
20040926,132.79297195074784
20040927,134.9756534466134
20040928,133.20534033705113
20040929,129.93025058486285
20040930,123.92930474793285
20041001,124.57340132447334
20041002,124.57340132447334
20041003,124.57340132447334
20041004,122.64337690982275
20041005,124.94141433991392
20041006,123.98649931556328
20041007,122.40997841445412
20041008,121.19932072026657
20041009,121.19932072026657
20041010,121.19932072026657
20041011,115.01398239754879
20041012,114.85113284513429
20041013,113.74724702679003
20041014,115.55951943626295
20041015,114.30257486900939
20041016,114.30257486900939
20041017,114.30257486900939
20041018,116.43346173772031
20041019,117.59042412219465
20041020,118.24519642367247
20041021,117.76822034832239
20041022,117.96830834851193
20041023,117.96830834851193
20041024,117.96830834851193
20041025,117.91041309842375
20041026,116.36740194417716
20041027,112.43472078211168
20041028,111.29593560610776
20041029,106.81295901381762
20041030,106.81295901381762
20041031,106.81295901381762
20041101,101.90350065237823
20041102,101.86534334770532
20041103,96.21424072111694
20041104,87.22947780137235
20041105,90.4492177287406
20041106,90.4492177287406
20041107,90.4492177287406
20041108,89.7117565433817
20041109,88.04142937679518
20041110,83.9022951451035
20041111,81.04790196220358
20041112,82.28288198852883
