Date,Gazit-Globe Ltd
20041225,37.28014104669129
20041227,35.43228969188027
20041228,36.28250730205212
20041229,36.50504063234874
20041230,11.080032525338908
20041231,11.080032525338908
20050101,11.080032525338908
20050103,9.47084031163383
20050104,9.692493218619031
20050105,10.582566651989568
20050106,9.125916583679302
20050107,9.125916583679302
20050108,9.125916583679302
20050110,9.498888972185608
20050111,9.886388224507009
20050112,10.067968645738391
20050113,10.212963908420841
20050114,10.212963908420841
20050115,10.212963908420841
20050117,9.656893728962809
20050118,9.237032180246695
20050119,8.735586381394333
20050120,8.606455985807104
20050121,8.606455985807104
20050122,8.606455985807104
20050124,8.179031961061067
20050125,8.877734612261786
20050126,9.728468503120983
20050127,10.221606953451444
20050128,10.221606953451444
20050129,10.221606953451444
20050131,9.685382015635543
20050201,9.523958050350252
20050202,8.995117133064594
20050203,7.7405984901005676
20050204,7.7405984901005676
20050205,7.7405984901005676
20050207,8.125773660826361
20050208,8.08831390230913
20050209,8.682352935620681
20050210,8.970523964948274
20050211,8.970523964948274
20050212,8.970523964948274
20050214,8.423756680183219
20050215,8.610981423305503
20050216,8.517944382460493
20050217,7.466932111245748
20050218,7.466932111245748
20050219,7.466932111245748
20050221,7.190632930813129
20050222,7.538958816472531
20050223,7.773613031965613
20050224,7.249351733801514
20050225,7.249351733801514
20050226,7.249351733801514
20050228,7.157878649595811
20050301,6.7969806861590385
20050302,6.783001905441261
20050303,6.494840794646344
20050304,6.494840794646344
20050305,6.494840794646344
20050307,5.923516169019153
20050308,6.3451167516702816
20050309,6.625933580285495
20050310,6.534681868324717
20050311,6.534681868324717
20050312,6.534681868324717
20050314,6.453553732270872
20050315,6.388859705149567
20050316,6.560200941659951
20050317,6.413604131634227
20050318,6.413604131634227
20050319,6.413604131634227
20050321,6.135324967169622
20050322,5.895984009373461
20050323,6.847772186323836
20050324,7.120841484594044
20050325,7.120841484594044
20050326,7.120841484594044
20050328,6.011078531457486
20050329,6.755598415482103
20050330,7.480624869239846
20050331,7.424752959702926
20050401,7.424752959702926
20050402,7.424752959702926
20050404,7.808715474705104
20050405,7.477955151197405
20050406,7.058304365360051
20050407,6.7589320474321
20050408,6.7589320474321
20050409,6.7589320474321
20050411,6.4717875777239104
20050412,6.715078179328016
20050413,6.963074340564968
20050414,6.929198620880821
20050415,6.929198620880821
20050416,6.929198620880821
20050418,8.05019555371496
20050419,7.893684183986838
20050420,7.765744060817248
20050421,7.5648407732447565
20050422,7.5648407732447565
20050423,7.5648407732447565
20050424,7.5648407732447565
20050425,7.568955447969745
20050426,7.619635738880883
20050427,7.993379193824364
20050428,6.918953696382777
20050429,6.918953696382777
20050430,6.918953696382777
20050502,6.370671112947455
20050503,6.523546851126464
20050504,6.453430193354296
20050505,6.19036361484733
20050506,6.19036361484733
20050507,6.19036361484733
20050509,6.2954645445140685
20050510,6.338203224744722
