Date,Kuwait Financial Centre SAK
20100125,15.988481473455861
20100126,16.665844081195555
20100127,17.593268175272957
20100128,16.962582748805175
20100129,16.962582748805175
20100130,16.962582748805175
20100201,16.295453493257057
20100202,16.271749215997733
20100203,15.894925903302788
20100204,16.150545063227142
20100205,16.150545063227142
20100206,16.150545063227142
20100208,15.457327326613639
20100209,14.936075678357167
20100210,14.617092973479277
20100211,14.85013393518852
20100212,14.85013393518852
20100213,14.85013393518852
20100214,14.85013393518852
20100215,12.940528550874372
20100216,13.434834240994203
20100217,13.767735565658805
20100218,13.707925132305304
20100219,13.747016616699579
20100220,13.747016616699579
20100221,13.747016616699579
20100222,13.932679031182413
20100223,13.747592990128807
20100224,13.506359877799408
20100225,13.506359877799408
20100226,13.506359877799408
20100227,13.506359877799408
20100228,13.506359877799408
20100301,13.506359877799408
20100302,13.156708580243345
20100303,13.190949640163767
20100304,14.222866036561154
20100305,14.222866036561154
20100306,14.222866036561154
20100308,13.157269085572512
20100309,13.13576498389989
20100310,13.069647313884294
20100311,13.297141741007708
20100312,13.297141741007708
20100313,13.297141741007708
20100315,12.789080665526992
20100316,13.253050632987238
20100317,13.321257828601846
20100318,13.538552764513495
20100319,13.538552764513495
20100320,13.538552764513495
20100322,13.484237054585586
20100323,13.703771155707445
20100324,13.036939779705284
20100325,11.962789229637323
20100326,11.962789229637323
20100327,11.962789229637323
20100329,11.823896578050416
20100330,12.603820763079126
20100331,10.58704051118427
20100401,10.387830221855525
20100402,10.387830221855525
20100403,10.387830221855525
20100405,9.101045405211897
20100406,8.646022264612753
20100407,8.945578814566106
20100408,8.964534408016045
20100409,8.964534408016045
20100410,8.964534408016045
20100412,9.867705536415803
20100413,10.347166238081691
20100414,11.057077756396561
20100415,10.785550592504112
20100416,10.785550592504112
20100417,10.785550592504112
20100419,11.374045780108863
20100420,11.669514333504418
20100421,11.466139829998612
20100422,11.101702782675993
20100423,11.101702782675993
20100424,11.101702782675993
20100426,11.98961154556998
20100427,11.036288911546418
20100428,11.01082589264378
20100429,9.336633036073524
20100430,9.336633036073524
20100501,9.336633036073524
20100503,9.215839854127228
20100504,9.169963759060145
20100505,9.654911424906603
20100506,10.13660107013583
20100507,10.13660107013583
20100508,10.13660107013583
20100510,11.000130359907386
20100511,11.276746816342714
20100512,8.928748131807994
20100513,8.794907454712426
20100514,8.794907454712426
20100515,8.794907454712426
20100517,8.822342712782739
20100518,8.913250287155748
20100519,9.33230251305469
20100520,9.264133932287242
20100521,9.264133932287242
20100522,9.264133932287242
20100524,9.446230805224154
20100525,10.708975378907816
20100526,10.437040841219565
20100527,10.297690351309921
20100528,10.297690351309921
20100529,10.297690351309921
20100531,10.640150456430208
20100601,10.528751013680761
20100602,10.698491004603103
20100603,10.804838139883564
20100604,10.804838139883564
20100605,10.804838139883564
20100607,11.671703477104474
20100608,10.4842092659823
20100609,11.000833026827033
20100610,11.00678239879131
20100611,11.00678239879131
20100612,11.00678239879131
20100614,11.671552519041647
20100615,12.044269653490653
20100616,11.794241909425539
20100617,10.997075544643803
20100618,10.952884694686
20100619,10.952884694686
20100620,10.952884694686
20100621,10.943470413694932
20100622,10.763086430159623
20100623,10.559917558535078
20100624,10.84715928045974
20100625,10.84715928045974
20100626,10.84715928045974
20100628,11.57905441505163
20100629,11.946534907518135
20100630,10.904255425970403
20100701,11.524197077650827
20100702,11.524197077650827
20100703,11.524197077650827
20100705,13.37852902384412
20100706,11.925157108682782
20100707,10.355803355189263
20100708,10.19438466866117
20100709,10.19438466866117
20100710,10.19438466866117
20100711,10.19438466866117
20100712,9.791084438922516
20100713,9.52220373797879
20100714,9.218108408804834
20100715,9.124081781920953
20100716,9.124081781920953
20100717,9.124081781920953
20100719,8.716340515822873
20100720,8.773046233567136
20100721,8.348106871766252
20100722,7.969321577227646
20100723,7.969321577227646
20100724,7.969321577227646
20100725,7.969321577227646
20100726,7.533689615119357
20100727,7.524096258820055
20100728,8.01727611536301
20100729,7.212510316045881
20100730,7.212510316045881
20100731,7.212510316045881
20100802,7.414910126024396
20100803,7.644794804922369
20100804,7.528072461966814
20100805,7.39761705881622
20100806,7.39761705881622
20100807,7.39761705881622
20100809,6.839104503614137
20100810,6.793740653957369
20100811,7.080490447162915
20100812,6.721667926404113
20100813,6.721667926404113
20100814,6.721667926404113
20100816,7.233102693143715
20100817,8.29201370513314
20100818,8.301945149238698
20100819,8.301945149238698
20100820,8.301945149238698
20100821,8.301945149238698
20100823,8.145731853166472
20100824,8.171657520762004
20100825,8.107538182676647
20100826,8.24930765352512
20100827,8.24930765352512
20100828,8.24930765352512
20100830,7.8979480016796
20100831,6.97722164775237
20100901,6.894527451813177
20100902,6.783421612112075
20100903,6.783421612112075
20100904,6.783421612112075
20100906,6.764697318535109
20100907,6.745530651125725
20100908,6.423147507348533
20100909,6.423147507348533
20100910,6.423147507348533
20100911,6.423147507348533
20100912,6.423147507348533
20100913,6.423147507348533
20100914,5.935087125431991
20100915,5.895574418567579
20100916,5.661159617526129
20100917,5.661159617526129
20100918,5.661159617526129
20100920,5.942567055884756
20100921,6.047516674874214
20100922,5.810338027531996
20100923,5.966347391634533
20100924,5.966347391634533
20100925,5.966347391634533
20100926,5.966347391634533
20100927,6.4564876571686804
20100928,5.956531951482965
20100929,5.77378137866069
20100930,5.082595922750261
20101001,5.082595922750261
20101002,5.082595922750261
20101004,5.157150314703574
20101005,5.325846947312569
20101006,5.3292461904106965
20101007,5.148819718710115
20101008,5.148819718710115
20101009,5.148819718710115
20101012,4.632786267363043
