Date,Gemdale Properties & Investment Corp Ltd
20151023,45.70121422883704
20151024,45.70121422883704
20151025,45.70121422883704
20151026,46.771034965615335
20151027,49.14899516441573
20151028,48.905796337128
20151029,50.03224933975026
20151030,49.14437503011609
20151031,49.14437503011609
20151101,49.14437503011609
20151102,50.44338658601374
20151103,52.3142103297545
20151104,49.920539117924214
20151105,48.17047229619059
20151106,49.220624993606435
20151107,49.220624993606435
20151108,49.220624993606435
20151109,49.19637781818232
20151110,48.652375905912905
20151111,50.798833482441445
20151112,44.53080748587662
20151113,45.02319020331025
20151114,45.02319020331025
20151115,45.02319020331025
20151116,45.36609865423075
20151117,45.08674749515997
20151118,45.679213755622584
20151119,43.83506771712294
20151120,44.40202014764654
20151121,44.40202014764654
20151122,44.40202014764654
20151123,44.63750448674489
20151124,44.86305617445068
20151125,44.129239052726916
20151126,46.05301795837991
20151127,46.41886120191279
20151128,46.41886120191279
20151129,46.41886120191279
20151130,44.72074648488973
20151201,42.57123842306963
20151202,41.81405644015174
20151203,42.51421281464947
20151204,42.92317504048405
20151205,42.92317504048405
20151206,42.92317504048405
20151207,43.079911503967736
20151208,44.1277244222659
20151209,38.543318054142375
20151210,40.570241013280416
20151211,40.78124016636956
20151212,40.78124016636956
20151213,40.78124016636956
20151214,41.73182370141612
20151215,40.25626463808767
20151216,38.01288069041719
20151217,37.33490371038109
20151218,36.43767896984564
20151219,36.43767896984564
20151220,36.43767896984564
20151221,33.509000829857015
20151222,34.46415534753764
20151223,33.12415714288345
20151224,32.14521110671016
20151225,32.14521110671016
20151226,32.14521110671016
20151227,32.14521110671016
20151228,33.38514966870765
20151229,31.524726080033282
20151230,31.51412228926029
20151231,31.9731516197589
20160101,31.9731516197589
20160102,31.9731516197589
20160103,31.9731516197589
20160104,32.640644814934205
20160105,32.70533722199266
20160106,34.8286730266101
20160107,39.4674194661642
20160108,35.720515558968096
20160109,35.720515558968096
20160110,35.720515558968096
20160111,41.81402355720602
20160112,40.693298325913915
20160113,40.05397574453811
20160114,41.66396464430752
20160115,46.947503780809775
20160116,46.947503780809775
20160117,46.947503780809775
20160118,46.506564554673716
20160119,46.93202324586843
20160120,50.91264499587419
20160121,53.922611452122595
20160122,85.70171015842922
20160123,85.70171015842922
20160124,85.70171015842922
20160125,78.24557439424821
20160126,88.780507346823
20160127,83.50713747460173
20160128,84.60996545524033
20160129,81.38981164100308
20160130,81.38981164100308
20160131,81.38981164100308
20160201,82.0499638640204
20160202,83.31057045567417
20160203,85.75085042739255
20160204,83.97129450168885
20160205,85.26345752050668
20160206,85.26345752050668
20160207,85.26345752050668
20160208,85.26345752050668
20160209,85.26345752050668
20160210,85.26345752050668
20160211,97.2691270310418
20160212,97.99161632756817
20160213,97.99161632756817
20160214,97.99161632756817
20160215,89.81716904910746
20160216,87.7596075617062
20160217,86.72102199328714
20160218,84.04460759857294
20160219,85.32706811882326
20160220,85.32706811882326
20160221,85.32706811882326
20160222,86.35010105611512
20160223,86.16936680828705
20160224,86.13676563709932
20160225,88.47163837570116
20160226,86.29181187290155
20160227,86.29181187290155
20160228,86.29181187290155
20160229,82.36115004929331
20160301,77.3294857634654
20160302,63.12546437142797
20160303,67.23606347888831
20160304,62.47077178205226
20160305,62.47077178205226
20160306,62.47077178205226
20160307,62.50566532846336
20160308,64.6736249739506
20160309,66.15083629305926
20160310,67.07264184498044
20160311,65.52327490382253
20160312,65.52327490382253
20160313,65.52327490382253
20160314,64.13880196207741
20160315,64.26682443815287
20160316,64.2608378708799
20160317,62.945622578711635
20160318,58.78646502225264
20160319,58.78646502225264
20160320,58.78646502225264
20160321,60.981008936564514
20160322,61.91088909339458
20160323,63.295667773230825
20160324,65.14088907908724
20160325,65.14088907908724
20160326,65.14088907908724
20160327,65.14088907908724
20160328,65.14088907908724
20160329,66.72002915368363
20160330,65.70544473216643
20160331,66.63466008831242
20160401,69.4449592508926
20160402,69.4449592508926
20160403,69.4449592508926
20160404,69.4449592508926
20160405,67.72174412230441
20160406,69.9935954488589
20160407,69.89864148160204
20160408,71.63152549220104
20160409,71.63152549220104
20160410,71.63152549220104
20160411,70.38588495085708
20160412,70.63644830716386
20160413,72.61101110031
20160414,70.93526110334756
20160415,72.16277156715287
20160416,72.16277156715287
20160417,72.16277156715287
20160418,69.75126920483092
20160419,69.36175581572857
20160420,72.63462270832777
20160421,71.6925544284496
20160422,74.01723314890275
20160423,74.01723314890275
20160424,74.01723314890275
20160425,75.76677995274625
20160426,75.63730463915829
20160427,78.77025591419425
20160428,83.3737645441069
20160429,74.52902084571434
20160430,74.52902084571434
20160501,74.52902084571434
20160502,74.52902084571434
20160503,73.15037049460507
20160504,71.93046071669679
20160505,70.40405025706814
20160506,70.77480102813327
20160507,70.77480102813327
20160508,70.77480102813327
20160509,71.72032543963019
20160510,76.90859931896038
20160511,74.37696043954516
20160512,77.26454517255519
20160513,77.39347801290805
20160514,77.39347801290805
20160515,77.39347801290805
20160516,74.18259854310925
20160517,75.29940427949164
20160518,75.39156680649786
20160519,75.47797621776736
20160520,75.22273805024996
