Date,GEK Terna Holding Real Estate Construction SA
20080811,47.16156627627604
20080812,50.22798217705924
20080813,51.78198385467307
20080814,51.91520273086042
20080815,51.91520273086042
20080816,51.91520273086042
20080817,51.91520273086042
20080818,50.275194598169
20080819,50.163121860023814
20080820,49.66702874932637
20080821,50.686591103031944
20080822,50.412305465346414
20080823,50.412305465346414
20080824,50.412305465346414
20080825,50.61355212254033
20080826,52.85941831771555
20080827,55.41553454912187
20080828,55.9525632229856
20080829,62.55216069670704
20080830,62.55216069670704
20080831,62.55216069670704
20080901,66.91982254393733
20080902,64.80697582667503
20080903,66.87877192735314
20080904,71.60616706647689
20080905,75.37337634420024
20080906,75.37337634420024
20080907,75.37337634420024
20080908,69.6258292213343
20080909,69.81724174703442
20080910,76.24102219733925
20080911,79.32699751664661
20080912,79.26052649024787
20080913,79.26052649024787
20080914,79.26052649024787
20080915,82.60614196745126
20080916,84.61581992064048
20080917,83.68623984902776
20080918,89.91063577129964
20080919,78.02961874220475
20080920,78.02961874220475
20080921,78.02961874220475
20080922,78.14675127856847
20080923,84.99387501832005
20080924,81.27983393412731
20080925,81.0573154096693
20080926,84.05124525943062
20080927,84.05124525943062
20080928,84.05124525943062
20080929,96.75856756333889
20080930,99.49781484159978
20081001,94.59519748210616
20081002,93.46192658348606
20081003,102.68332258416308
20081004,102.68332258416308
20081005,102.68332258416308
20081006,118.41795295775565
20081007,111.55868628644967
20081008,111.40902733244971
20081009,109.15459715483541
20081010,117.7856208073059
20081011,117.7856208073059
20081012,117.7856208073059
20081013,102.12577093841836
20081014,95.75999855788234
20081015,108.00984128667744
20081016,121.0632735683377
20081017,135.29042978281353
20081018,135.29042978281353
20081019,135.29042978281353
20081020,152.26354472602068
20081021,161.91018495631693
20081022,177.47224396056566
20081023,195.657948104326
20081024,273.794117816302
20081025,273.794117816302
20081026,273.794117816302
20081027,249.1623475324999
20081028,249.1623475324999
20081029,225.20038256448427
20081030,197.2003545453388
20081031,189.6956821215902
20081101,189.6956821215902
20081102,189.6956821215902
20081103,178.10137269984565
20081104,147.5569627376969
20081105,129.09477952129018
20081106,148.02120540059312
20081107,123.49813715836983
20081108,123.49813715836983
20081109,123.49813715836983
20081110,111.91483855608378
20081111,128.93621249674248
20081112,144.34150666411102
20081113,145.15951164157906
20081114,146.3012520487171
20081115,146.3012520487171
20081116,146.3012520487171
20081117,165.653487790372
20081118,158.57728712779016
20081119,158.72484779262942
20081120,160.8395455663311
20081121,151.41330421551828
20081122,151.41330421551828
20081123,151.41330421551828
20081124,141.82321045450144
