Date,DNB ASA
20041113,50.38836055139089
20041114,50.38836055139089
20041115,48.99714050015135
20041116,49.272371312535256
20041117,46.421318124388655
20041118,45.43073778236082
20041119,45.925359831844645
20041120,45.925359831844645
20041121,45.925359831844645
20041122,46.71500217625793
20041123,45.09612015690041
20041124,45.63031169127477
20041125,45.74537996326454
20041126,45.23314737899916
20041127,45.23314737899916
20041128,45.23314737899916
20041129,45.35691064806706
20041130,45.40757906207799
20041201,45.95687171772522
20041202,48.957205179665976
20041203,50.20045614695187
20041204,50.20045614695187
20041205,50.20045614695187
20041206,50.303775667301075
20041207,43.17170240980944
20041208,43.73584661887479
20041209,43.593833932665866
20041210,41.74702808535622
20041211,41.74702808535622
20041212,41.74702808535622
20041213,42.06471038847741
20041214,42.23349468902308
20041215,40.733579979423794
20041216,39.97581564364337
