Date,FirstRand Ltd
20041113,37.92147040324454
20041114,37.92147040324454
20041115,38.29058031076776
20041116,37.9425153796228
20041117,35.556482105579995
20041118,35.90514111735963
20041119,36.60571899278312
20041120,36.60571899278312
20041121,36.60571899278312
20041122,37.16178611378885
20041123,37.90667773370745
20041124,35.87157655745321
20041125,33.03345686288217
20041126,32.89012181276022
20041127,32.89012181276022
20041128,32.89012181276022
20041129,28.791838239130037
20041130,31.20606343054136
20041201,30.9600022391064
20041202,31.299392368297415
20041203,31.570264457319073
20041204,31.570264457319073
20041205,31.570264457319073
20041206,31.269367489559965
20041207,32.243415892338255
20041208,32.92262957553005
20041209,32.984802390575595
20041210,32.768047255258914
20041211,32.768047255258914
20041212,32.768047255258914
20041213,31.609192798990147
20041214,31.507394559704306
20041215,30.64646322183614
