Date,Land & General Bhd
20080725,50.24211782306742
20080726,50.24211782306742
20080727,50.24211782306742
20080728,46.831102031085024
20080729,43.89357587410845
20080730,43.84715710827643
20080731,43.01261640416732
20080801,45.148801733543145
20080802,45.148801733543145
20080803,45.148801733543145
20080804,46.78938234889104
20080805,47.24789107078037
20080806,47.37207239955275
20080807,47.3150312552102
20080808,49.11730495408522
20080809,49.11730495408522
20080810,49.11730495408522
20080811,48.12887134830534
20080812,51.423756698399224
20080813,50.50000399013483
20080814,51.335486823896126
20080815,52.77877338810874
20080816,52.77877338810874
20080817,52.77877338810874
20080818,53.33118140170724
20080819,55.81247279407696
20080820,54.84837943220287
20080821,57.29391876539381
20080822,56.395298894392305
20080823,56.395298894392305
20080824,56.395298894392305
20080825,55.82931557813094
20080826,54.0958424231908
20080827,55.933402047472455
20080828,49.67994766293165
20080829,39.13712643261951
20080830,39.13712643261951
20080831,39.13712643261951
20080901,39.13712643261951
20080902,40.53572331815718
20080903,43.589057677626464
20080904,42.12831127973024
20080905,46.53385881415366
20080906,46.53385881415366
20080907,46.53385881415366
20080908,45.81026588829381
20080909,52.95450845077755
20080910,53.671129987597496
20080911,56.58527140511085
20080912,54.37273345784531
20080913,54.37273345784531
20080914,54.37273345784531
20080915,54.16382688743069
20080916,53.776520299292805
20080917,57.19326968302853
20080918,55.23163594106836
20080919,49.92874673679717
20080920,49.92874673679717
20080921,49.92874673679717
20080922,53.153168720902634
20080923,53.37163466226612
20080924,50.77075376867723
20080925,50.06748180080403
20080926,55.373127904466
20080927,55.373127904466
20080928,55.373127904466
20080929,56.68124588675615
20080930,52.61144481490114
20081001,52.61144481490114
20081002,52.61144481490114
20081003,51.575492837635515
20081004,51.575492837635515
20081005,51.575492837635515
20081006,56.2466403750577
20081007,56.56131234316179
20081008,58.37720478225404
20081009,55.602366057449366
20081010,61.5198739167802
20081011,61.5198739167802
20081012,61.5198739167802
20081013,60.82604038749226
20081014,60.43712622056623
20081015,64.69035831232397
20081016,70.13805672034958
20081017,78.88751941933057
20081018,78.88751941933057
20081019,78.88751941933057
20081020,76.73013702092568
20081021,71.23570774619985
20081022,73.60162704783352
20081023,81.164815643503
20081024,94.51717725922909
20081025,94.51717725922909
20081026,94.51717725922909
20081027,94.51717725922909
20081028,106.17668113369042
20081029,102.56450964816078
20081030,87.9913307513962
20081031,87.59012277489592
20081101,87.59012277489592
20081102,87.59012277489592
20081103,74.81956477058279
20081104,64.20166157837163
20081105,70.31967945231845
20081106,78.52135023756213
20081107,72.33397910011529
20081108,72.33397910011529
20081109,72.33397910011529
20081110,59.910994919087514
20081111,64.62902628738296
20081112,62.12113010891519
20081113,68.29713580209274
20081114,69.73547655089321
20081115,69.73547655089321
20081116,69.73547655089321
20081117,72.59906030377344
20081118,76.43849298717309
20081119,78.41429268059842
20081120,82.25174718740423
20081121,75.70427325559825
20081122,75.70427325559825
20081123,75.70427325559825
20081124,79.02248720312012
20081125,74.82974116378674
20081126,69.52231428793387
20081127,76.60115397067932
20081128,74.73000453608378
20081129,74.73000453608378
20081130,74.73000453608378
20081201,82.60074013994205
20081202,82.68248256570975
20081203,79.54709321890125
20081204,85.73515772952646
20081205,84.53488588787528
20081206,84.53488588787528
20081207,84.53488588787528
20081208,84.53488588787528
20081209,79.42147677947823
20081210,75.1090908580869
20081211,73.37131675730795
20081212,73.37614929166345
20081213,73.37614929166345
20081214,73.37614929166345
20081215,73.3027514216689
20081216,73.1805249789058
20081217,68.9876961105694
20081218,60.01829431381873
20081219,63.635100550680946
20081220,63.635100550680946
20081221,63.635100550680946
20081222,66.15043934075156
20081223,67.01516693127063
20081224,67.00364532560623
20081225,67.00364532560623
20081226,69.62244294107117
20081227,69.62244294107117
20081228,69.62244294107117
20081229,69.62244294107117
20081230,70.16033185904543
20081231,72.33200273909888
20090101,72.33200273909888
20090102,65.92035340466609
20090103,65.92035340466609
20090104,65.92035340466609
20090105,55.700583625854996
20090106,58.30134765747504
20090107,60.30500001110665
20090108,63.72525014922856
20090109,63.564960378744836
20090110,63.564960378744836
20090111,63.564960378744836
20090112,56.11987333631955
20090113,51.90907176759009
20090114,51.58464219830578
20090115,53.89061378502221
20090116,56.443999392948534
20090117,56.443999392948534
20090118,56.443999392948534
20090119,62.54929610766168
20090120,64.12375441199343
20090121,65.44978723949771
20090122,67.74861178210304
20090123,67.8825595749218
20090124,67.8825595749218
20090125,67.8825595749218
20090126,67.8825595749218
20090127,67.8825595749218
20090128,65.14508303558576
20090129,67.26185684107
20090130,66.32479820351465
20090131,66.32479820351465
20090201,66.32479820351465
20090202,66.32479820351465
20090203,68.29137418336533
20090204,68.66051737394153
20090205,70.34052917780751
20090206,65.0906448635919
20090207,65.0906448635919
20090208,65.0906448635919
20090209,65.0906448635919
20090210,64.02197304399752
20090211,66.30468156869384
20090212,68.12914576275931
20090213,61.42195598938519
20090214,61.42195598938519
20090215,61.42195598938519
20090216,64.93806110271724
20090217,68.48457660089872
20090218,65.62132135840967
20090219,70.26233052358839
20090220,72.07324063335741
20090221,72.07324063335741
20090222,72.07324063335741
20090223,70.92954308935818
20090224,72.82374267052465
20090225,67.8268214628877
20090226,67.35777180076852
20090227,66.57117167643884
20090228,66.57117167643884
20090301,66.57117167643884
20090302,66.6497842645514
20090303,59.7249420780226
20090304,58.13628426739032
20090305,61.34578056035232
20090306,64.1762963836406
20090307,64.1762963836406
20090308,64.1762963836406
20090309,64.1762963836406
20090310,66.06646529603127
20090311,70.0664432410347
20090312,78.9136286680369
20090313,75.2250746359716
20090314,75.2250746359716
20090315,75.2250746359716
20090316,70.6830923627307
20090317,71.27645820492114
20090318,71.57213492623589
20090319,68.0454491967203
20090320,65.00530656912893
20090321,65.00530656912893
20090322,65.00530656912893
20090323,56.7321362098525
20090324,53.76624556678798
20090325,58.95472269983264
20090326,55.78322300987545
20090327,61.322789309000896
20090328,61.322789309000896
20090329,61.322789309000896
20090330,64.47425275088675
20090331,56.5794158181544
20090401,52.74976502048146
20090402,45.585470552540365
20090403,46.86358119146384
