Date,Ganesh Housing Corp Ltd
20150801,43.1464125051248
20150802,43.1464125051248
20150803,40.98760770853104
20150804,41.14089928541264
20150805,39.30364250515897
20150806,39.984325686094515
20150807,39.971551015934956
20150808,39.971551015934956
20150809,39.971551015934956
20150810,40.29586909605668
20150811,41.71591791871464
20150812,44.13162903598315
20150813,45.18676775902684
20150814,43.94028715104931
20150815,43.94028715104931
20150816,43.94028715104931
20150817,45.27318550133656
20150818,45.88712688801807
20150819,45.77706930792965
20150820,46.77614968622582
20150821,48.45207388894984
20150822,48.45207388894984
20150823,48.45207388894984
20150824,56.584765348604684
20150825,59.44238056094417
20150826,58.19709448873026
20150827,55.17202755868291
20150828,54.826908452436314
20150829,54.826908452436314
20150830,54.826908452436314
20150831,52.277759480555844
20150901,55.42467647319114
20150902,55.33800051542277
20150903,52.85756542522294
20150904,54.56960420408067
20150905,54.56960420408067
20150906,54.56960420408067
20150907,57.39874763486529
20150908,55.5707521360038
20150909,54.33412447580112
20150910,54.05485732425028
20150911,54.157849755363436
20150912,54.157849755363436
20150913,54.157849755363436
20150914,52.562810698195314
20150915,52.212145757831614
20150916,51.12602831445885
20150917,51.12602831445885
20150918,51.9364359847476
20150919,51.9364359847476
20150920,51.9364359847476
20150921,51.268351805276154
20150922,54.43876556392135
20150923,53.390910211429016
20150924,54.307232649327055
20150925,54.307232649327055
20150926,54.307232649327055
20150927,54.307232649327055
20150928,55.258448026267374
20150929,51.12223803815135
20150930,48.676331183010454
20151001,48.72136415848683
20151002,48.72136415848683
20151003,48.72136415848683
20151004,48.72136415848683
20151005,47.27878062522476
20151006,47.31109493443723
20151007,47.1690240890006
20151008,46.69881844648432
20151009,46.92982645413217
20151010,46.92982645413217
20151011,46.92982645413217
20151012,46.860092420886474
20151013,47.876770685258464
20151014,47.43246917253347
20151015,37.6059407747068
20151016,38.19606173224914
20151017,38.19606173224914
20151018,38.19606173224914
20151019,38.36370814592818
20151020,38.284144346542554
20151021,37.52498653214321
20151022,37.52498653214321
20151023,37.25014827885048
20151024,37.25014827885048
20151025,37.25014827885048
20151026,39.495419374531366
20151027,40.13609891988912
20151028,40.015774447174586
20151029,39.91161178292333
20151030,41.6031543719697
20151031,41.6031543719697
20151101,41.6031543719697
20151102,43.457413458704195
20151103,43.030672118357444
20151104,44.12793243888761
20151105,45.06770340635366
20151106,46.57174538213586
20151107,46.57174538213586
20151108,46.57174538213586
20151109,48.07073300805812
20151110,49.73563545572026
20151111,46.64049004687502
20151112,46.64049004687502
20151113,44.668583097399946
20151114,44.668583097399946
20151115,44.668583097399946
20151116,45.750387004860166
20151117,45.62541776810754
20151118,47.96640787906987
20151119,47.07828442245404
20151120,46.040023672088736
20151121,46.040023672088736
20151122,46.040023672088736
20151123,45.469683714664185
20151124,45.37446168147824
20151125,45.37446168147824
20151126,44.60170298070842
20151127,44.43074655644306
20151128,44.43074655644306
20151129,44.43074655644306
20151130,42.00145347444281
20151201,42.578366365177
20151202,40.46999789072068
20151203,40.63131319034301
20151204,41.70462017507412
20151205,41.70462017507412
20151206,41.70462017507412
20151207,42.11622433504794
20151208,43.79432758473072
20151209,45.7732256740419
20151210,45.30240463294243
20151211,45.34535857491525
20151212,45.34535857491525
20151213,45.34535857491525
20151214,45.319570976343
20151215,45.99764213535017
20151216,44.50084625338317
20151217,42.74848619416347
20151218,45.27767802234793
20151219,45.27767802234793
20151220,45.27767802234793
20151221,44.86546470902428
20151222,45.68486270519889
20151223,44.87329392287549
20151224,42.05252840031206
20151225,42.05252840031206
20151226,42.05252840031206
20151227,42.05252840031206
20151228,37.252980990923106
20151229,35.35585927566604
20151230,33.451736782952956
20151231,34.80548834066356
20160101,33.800993806577395
20160102,33.800993806577395
20160103,33.800993806577395
20160104,36.535503260063365
20160105,36.77655943560337
20160106,36.58596639787811
20160107,39.10311456464012
20160108,38.241716225608094
20160109,38.241716225608094
20160110,38.241716225608094
20160111,39.49998003783941
20160112,41.81528433735049
20160113,41.333738491017726
20160114,44.291538751626526
20160115,47.138407575525804
20160116,47.138407575525804
20160117,47.138407575525804
20160118,48.017545571754994
20160119,48.10289052149533
20160120,53.62663692285694
20160121,53.306959212507905
20160122,50.61415431735534
20160123,50.61415431735534
20160124,50.61415431735534
20160125,51.75700849271524
20160126,51.75700849271524
20160127,52.09197776175422
20160128,51.428795741738774
20160129,47.157158257486216
20160130,47.157158257486216
20160131,47.157158257486216
20160201,47.07270585845869
20160202,48.71968379277818
20160203,52.629916736834986
20160204,52.76069510232199
20160205,50.00861683054569
20160206,50.00861683054569
20160207,50.00861683054569
20160208,48.15069857273002
20160209,49.827162700661184
20160210,52.52061099910376
20160211,55.371393613984395
20160212,58.39964504920853
20160213,58.39964504920853
20160214,58.39964504920853
20160215,54.60626909827577
20160216,55.83607892699566
20160217,53.898625667758935
20160218,49.86424137937995
20160219,49.92155368719344
20160220,49.92155368719344
20160221,49.92155368719344
20160222,48.86456091883664
20160223,51.852148326840336
20160224,54.65135534700555
20160225,54.02145903265967
20160226,55.33309255798994
20160227,55.33309255798994
20160228,55.33309255798994
20160229,54.105950476042196
20160301,50.18789764931564
20160302,49.44808105967186
20160303,48.43084181385991
20160304,48.9012862422377
20160305,48.9012862422377
20160306,48.9012862422377
20160307,48.9012862422377
20160308,48.81988560674348
20160309,47.92587806325027
20160310,47.96571994837764
20160311,47.870038885757836
20160312,47.870038885757836
20160313,47.870038885757836
20160314,47.122084584737976
20160315,47.17398685070201
20160316,47.45186066728959
20160317,48.16241997556065
20160318,48.6246687735219
20160319,48.6246687735219
20160320,48.6246687735219
20160321,46.67598868274539
20160322,45.63627967755337
20160323,46.58464494061597
20160324,46.58464494061597
20160325,46.58464494061597
