Date,Goldman Sachs Group Inc/The
20040918,131.4088289627963
20040919,131.4088289627963
20040920,130.88362297729287
20040921,139.17436693558014
20040922,144.14627121561588
20040923,144.65710475230387
20040924,145.71608619481725
20040925,145.71608619481725
20040926,145.71608619481725
20040927,148.80011568549043
20040928,147.9970867972892
20040929,146.9114066718922
20040930,158.78879409222856
20041001,158.14964538598352
20041002,158.14964538598352
20041003,158.14964538598352
20041004,154.1256820526804
20041005,156.76805800551114
20041006,152.0408170262453
20041007,152.86690550770018
20041008,155.92153874376993
20041009,155.92153874376993
20041010,155.92153874376993
20041011,156.17985169436614
20041012,154.05045493471994
20041013,151.46842460805576
20041014,156.3939060180514
20041015,152.92249123921434
20041016,152.92249123921434
20041017,152.92249123921434
20041018,154.1333011392287
20041019,157.06609391746153
20041020,159.00021952762336
20041021,155.1976597991203
20041022,158.5438779599134
20041023,158.5438779599134
20041024,158.5438779599134
20041025,159.7854576621316
20041026,156.52707175950795
20041027,150.0201154172561
20041028,144.11997431169905
20041029,142.4164029057196
20041030,142.4164029057196
20041031,142.4164029057196
20041101,145.1786846225681
20041102,144.09671681773182
20041103,141.91541161655792
20041104,142.2049357620351
20041105,140.86437161736018
20041106,140.86437161736018
20041107,140.86437161736018
20041108,143.04721342240066
20041109,140.60804484446442
20041110,141.69122206472025
20041111,135.75894638775532
20041112,131.1182281958782
20041113,131.1182281958782
20041114,131.1182281958782
20041115,132.41599772711348
20041116,134.43836280922915
20041117,132.4494013906612
20041118,133.2929994673572
20041119,137.3097488098777
20041120,137.3097488098777
20041121,137.3097488098777
20041122,138.0415340718611
20041123,136.87729184210735
20041124,132.33196829220998
20041125,132.33196829220998
20041126,132.63552283636298
20041127,132.63552283636298
20041128,132.63552283636298
20041129,132.0979972018259
20041130,126.94448569884581
20041201,125.95705121296614
20041202,124.8096828048479
20041203,125.03960316696025
20041204,125.03960316696025
20041205,125.03960316696025
20041206,123.45061264695562
20041207,125.18511232896634
20041208,123.48394125413942
20041209,122.61524060977506
20041210,117.96988760107394
20041211,117.96988760107394
20041212,117.96988760107394
20041213,115.55134868064023
20041214,117.29677792753417
20041215,119.62394994176879
20041216,156.55727313511613
