Date,Asia Development Capital Co Ltd
20090329,249.04211161860056
20090330,246.1456383669799
20090331,250.98860069194106
20090401,277.94089301635626
20090402,245.9511358930491
20090403,216.50808977052665
20090404,216.50808977052665
20090405,216.50808977052665
20090406,139.59598952163773
20090407,104.87971291184297
20090408,149.0033424489509
20090409,145.57865977934847
20090410,154.00540031947844
20090411,154.00540031947844
20090412,154.00540031947844
20090413,139.780617955863
20090414,110.24424065752686
20090415,96.6252205373304
20090416,111.91757988204668
20090417,117.94262879161903
20090418,117.94262879161903
20090419,117.94262879161903
20090420,107.38687203017858
20090421,101.73554197599242
20090422,115.50032773544393
20090423,107.42321173203449
20090424,120.6996971771331
20090425,120.6996971771331
20090426,120.6996971771331
20090427,128.71485906920861
20090428,120.0061240598873
20090429,120.0061240598873
20090430,110.22037788294378
20090501,129.20564099606645
20090502,129.20564099606645
20090503,129.20564099606645
20090504,129.20564099606645
20090505,129.20564099606645
20090506,129.20564099606645
20090507,115.78514962990317
20090508,106.71004574215083
20090509,106.71004574215083
20090510,106.71004574215083
20090511,98.09374248467957
20090512,105.82073322347439
20090513,104.16917446429277
20090514,111.83404288245617
20090515,102.47649176927798
20090516,102.47649176927798
20090517,102.47649176927798
20090518,111.73664925680742
20090519,103.55893803231254
20090520,113.05034724020541
20090521,118.85995930931932
20090522,117.63461836676834
20090523,117.63461836676834
20090524,117.63461836676834
20090525,117.2286860628157
20090526,115.61093872288347
20090527,123.2071503378695
20090528,106.81953857282372
20090529,111.90506382044627
20090530,111.90506382044627
20090531,111.90506382044627
20090601,100.90910736999078
20090602,111.68146488778369
20090603,111.13975663684731
20090604,104.45928846014333
20090605,102.46751834580161
20090606,102.46751834580161
20090607,102.46751834580161
20090608,79.55511379151199
20090609,79.41025038430779
20090610,77.46797183526189
20090611,77.44151080708845
20090612,76.22624036486539
20090613,76.22624036486539
20090614,76.22624036486539
20090615,67.45049107678366
20090616,57.97406023536632
20090617,59.918083427383834
20090618,39.791067885803464
20090619,43.61436169238052
20090620,43.61436169238052
20090621,43.61436169238052
20090622,46.56192212836818
20090623,44.59581492076108
20090624,44.25399603541218
20090625,38.94035678828522
20090626,39.796417965246526
20090627,39.796417965246526
20090628,39.796417965246526
20090629,41.550141389671275
20090630,43.38564191214446
20090701,45.23996559650571
20090702,49.16286816593196
20090703,48.51289963786948
