Date,Southside Bancshares Inc
19990610,25.723796280435334
19990611,25.863032118112944
19990612,25.863032118112944
19990613,25.863032118112944
19990614,26.330814871543623
19990615,26.12646317290105
19990616,24.97093284088527
19990617,24.080569545749015
19990618,23.74107749797441
19990619,23.74107749797441
19990620,23.74107749797441
19990621,23.89686340882574
19990622,24.815038083266792
19990623,24.11817082837201
19990624,23.70701769085386
19990625,23.739679540350952
19990626,23.739679540350952
19990627,23.739679540350952
19990628,23.869810186538626
19990629,24.069786385129994
19990630,25.67249854259629
19990701,25.711698122556008
19990702,25.567876390362134
19990703,25.567876390362134
19990704,25.567876390362134
19990705,25.567876390362134
19990706,25.353743570353693
19990707,23.52392938243619
19990708,23.246157229177165
19990709,23.485937083298985
19990710,23.485937083298985
19990711,23.485937083298985
19990712,21.765741807173786
19990713,18.305432882572156
19990714,18.203000740355467
19990715,18.771443295723184
19990716,18.015810696410973
19990717,18.015810696410973
19990718,18.015810696410973
19990719,19.314777931972163
19990720,18.548272210540446
19990721,18.6672847059503
19990722,19.077671805412496
19990723,17.94671200121304
19990724,17.94671200121304
19990725,17.94671200121304
19990726,17.821835367738437
19990727,18.995029013502556
19990728,18.547182224649394
19990729,18.920105151622373
19990730,22.31653619737631
19990731,22.31653619737631
19990801,22.37316866940277
19990802,22.14447994025078
19990803,22.574937460776738
19990804,23.267672925466368
19990805,23.240342943446645
19990806,23.535590253642816
19990807,23.535590253642816
19990808,23.535590253642816
19990809,22.076819435059388
19990810,23.681416316984777
19990811,24.424862301106796
19990812,24.044553434165675
19990813,24.521824775150012
19990814,24.521824775150012
19990815,24.521824775150012
19990816,24.771885189563964
19990817,24.36755108319672
19990818,24.25439913926326
19990819,24.179149771771364
