Date,CRED Holding Co Ltd
20080312,100.64676050016409
20080313,104.72038952299846
20080314,108.96837883474659
20080315,108.96837883474659
20080316,108.96837883474659
20080317,112.62061749402385
20080318,116.1925226886493
20080319,116.7143459556714
20080320,114.9875085251649
20080321,113.7692215912278
20080322,113.7692215912278
20080323,113.7692215912278
20080324,113.55208739769836
20080325,113.55535937127856
20080326,113.1251299929566
20080327,116.56986747799147
20080328,117.25953661399217
20080329,117.25953661399217
20080330,117.25953661399217
20080331,121.27667896236834
20080401,123.92412719341918
20080402,129.61586172069264
20080403,134.4843343535611
20080404,134.4843343535611
20080405,134.4843343535611
20080406,134.4843343535611
20080407,130.70858988452235
20080408,124.97890113143629
20080409,128.16838213393814
20080410,127.08620961025981
20080411,124.16918484647029
20080412,124.16918484647029
20080413,124.16918484647029
20080414,128.73707648626566
20080415,132.5537134820381
20080416,137.92214040627402
20080417,144.19145119579522
20080418,147.32742275575947
20080419,147.32742275575947
20080420,147.32742275575947
20080421,150.04127319556707
20080422,150.58239543155895
20080423,150.6828495973595
20080424,148.81462862594827
20080425,146.79862671850228
20080426,146.79862671850228
20080427,146.79862671850228
20080428,112.58845124889723
20080429,111.34163535816748
20080430,118.36947755685799
20080501,116.950170200028
20080502,116.950170200028
20080503,116.950170200028
20080504,116.950170200028
20080505,112.94468537529495
20080506,111.71163843554994
20080507,115.78534338958004
20080508,112.49708821998416
20080509,112.64543520038572
20080510,112.64543520038572
20080511,112.64543520038572
20080512,112.472455350871
20080513,115.69457936058602
20080514,112.42379700883272
20080515,111.62331690822124
20080516,110.75629740967952
20080517,110.75629740967952
20080518,110.75629740967952
20080519,113.24748709959228
20080520,117.5653363349419
20080521,119.02070864083454
20080522,119.29704598481382
20080523,116.74401304588439
20080524,116.74401304588439
20080525,116.74401304588439
20080526,117.63155318220333
20080527,118.25597688828054
20080528,116.92682803464103
20080529,119.35746360435708
20080530,114.25858519015887
20080531,114.25858519015887
20080601,112.97412020576043
20080602,108.60050480402792
20080603,107.9810560920039
20080604,111.2555424045732
20080605,105.24715375248323
20080606,107.36645127553687
20080607,107.36645127553687
20080608,107.36645127553687
20080609,107.36645127553687
20080610,109.71759139041743
20080611,114.07552170438902
20080612,118.82629464559834
20080613,123.34542065969234
20080614,123.34542065969234
