Date,Berkshire Bancorp Inc/NY
19991216,40.85760118036722
19991217,39.31955376337369
19991218,39.31955376337369
19991219,39.31955376337369
19991220,39.01294636056801
19991221,40.07566202403211
19991222,40.14298294166563
19991223,40.095069787410665
19991224,40.095069787410665
19991225,40.095069787410665
19991226,40.095069787410665
19991227,40.09675419423571
19991228,33.98544485578547
19991229,40.00735469647765
19991230,40.36845481645448
19991231,36.44940382527439
20000101,36.55749126998158
20000102,36.55749126998158
20000103,36.13012876159453
20000104,37.35059583164813
20000105,37.064052352751844
20000106,34.596452680856125
20000107,35.33476045689169
20000108,35.33476045689169
20000109,35.33476045689169
20000110,37.718168005374686
20000111,37.64167414940183
20000112,38.23295861091144
20000113,37.209319913498874
