Date,AEC Securities PCL,AEON Financial Service Co Ltd,AF Global Ltd,Aichi Bank Ltd/The,Aksigorta AS,AF Global Ltd,DNB ASA,FirstRand Ltd,GAM Holding AG,Gazit-Globe Ltd,GEK Terna Holding Real Estate Construction SA,Gemdale Properties & Investment Corp Ltd,Jyske Bank A/S,Kuwait Financial Centre SAK,Ladenburg Thalmann Financial Services Inc,LAMDA Development SA,Land & General Bhd,SK Securities Co Ltd,Skandinaviska Enskilda Banken AB,Skjern Bank
2012-08-04,,6.910344870868116,5.03699760639794,100.99196410876215,5.1294306291082945,5.03699760639794,56.250854748930685,20.426478433545913,3.424060658954745,12.53251557629607,61.42201984468047,2.1482510514504756,50.07458088844426,9.96944536244284,45.86077697825653,47.60809760645206,2.943552135606875,53.1944351425537,19.061623484303116,32.29949418513207
2012-08-05,,6.910344870868116,5.03699760639794,100.99196410876215,5.1294306291082945,5.03699760639794,56.250854748930685,20.426478433545913,3.424060658954745,,61.42201984468047,2.1482510514504756,50.07458088844426,,45.86077697825653,47.60809760645206,2.943552135606875,53.1944351425537,19.061623484303116,32.29949418513207
2012-08-06,,6.583786556269617,4.8389836652696046,98.28510996257059,4.434593181729458,4.8389836652696046,52.53616210484647,19.874702151412976,3.437836034529965,12.733244051939593,59.29938257979897,2.070362297096564,47.68996043471116,10.638715534644717,47.90903579883584,42.217119134978475,2.801814833374377,49.90332145697054,18.738149224932478,30.572039636964018
2012-08-07,,6.539096624700178,4.889490351595105,94.42453834013607,4.576136773006758,4.889490351595105,51.83448934927949,20.664485603399587,3.3358281147617057,11.695630889774053,58.08413540480999,2.0225590706937875,46.386279743037136,11.075313950008836,48.80819194935091,35.47085953798635,2.7982999725604554,47.75747183487609,18.617377774856838,29.969310484431066
2012-08-08,,6.4034584988583445,5.015232505513102,92.2668505990176,4.346055612756067,5.015232505513102,49.01356931736111,20.30955618558621,3.3123201839038448,11.629195018093851,59.73917318782578,2.01926102776535,46.8291129688475,11.113643930746253,54.783619723419434,39.578740920292155,2.8231949300745383,47.321998500883176,17.681653491194112,29.55366746557797
2012-08-09,,6.353421418939012,5.015232505513102,92.35838980191973,4.439395432436296,5.015232505513102,48.734063335328855,20.30955618558621,3.106051577649975,11.455274335885976,58.55667340731235,2.0103099932174566,46.5817652936373,10.7007150271296,54.19207624016318,36.723081953290674,3.1443231587816487,43.80443442366804,17.509038574154935,27.89255158236989
2012-08-10,,6.668858098089423,4.797659494718435,90.51348649090195,4.282543385905604,4.797659494718435,48.42196216748686,20.752285876998663,3.0625770888376964,11.455274335885976,59.24756650203484,1.9995606083889172,45.06618087944828,10.7007150271296,55.61853976011407,34.93720868163884,3.047537675502348,36.07299251985236,17.441040204140506,27.550981860998736
2012-08-11,,6.668858098089423,4.797659494718435,90.51348649090195,4.282543385905604,4.797659494718435,48.42196216748686,20.752285876998663,3.0625770888376964,11.455274335885976,59.24756650203484,1.9995606083889172,45.06618087944828,10.7007150271296,55.61853976011407,34.93720868163884,3.047537675502348,36.07299251985236,17.441040204140506,27.550981860998736
2012-08-12,,6.668858098089423,4.797659494718435,90.51348649090195,4.282543385905604,4.797659494718435,48.42196216748686,20.752285876998663,3.0625770888376964,,59.24756650203484,1.9995606083889172,45.06618087944828,,55.61853976011407,34.93720868163884,3.047537675502348,36.07299251985236,17.441040204140506,27.550981860998736
2012-08-13,,6.767243980390861,4.811703037935722,89.9454203805806,4.4659404763127215,4.811703037935722,50.64243258071704,21.607806330134316,3.4779825124764527,13.340205585879762,60.368371037358074,2.0079423451240994,46.30093077802474,10.842868418957794,54.6084469461996,39.00412551520007,2.9435910565845465,36.45906133939165,18.003127515334626,27.961292125044046
