Date,Askari Bank Ltd,Beh-Property Co Ltd,Beijing Homyear Capital Holdings Co Ltd,Beijing Zodi Investment Co Ltd,CBL & Associates Properties Inc,DongfengSci-Tech Group Co Ltd,Ecobank Transnational Inc,Ecsponent Ltd,FlexiGroup Ltd/Australia,Harbin Gong Da High-Tech Enterprise Development Co Ltd,Intu Properties PLC,Jahangir Siddiqui & Co Ltd,Jilin Cheng Cheng Group Co Ltd,Metro Land Corp Ltd,Resimac Group Ltd,Soneri Bank Ltd,Tianjin Songjiang Co Ltd,UACN Property Development Co PLC
2006-05-13,35.07805095579109,,280.3394885874016,95.07835299609066,1.9460277526249736,641.0032174020964,,,,,1.374398393955956,11.58454995299855,273.5121595377676,226.8462460691903,102.77333563080951,19.358653302347594,,25.447825504390927
2006-05-14,35.07805095579109,,280.3394885874016,95.07835299609066,1.9460277526249736,641.0032174020964,,,,,1.374398393955956,11.58454995299855,273.5121595377676,226.8462460691903,102.77333563080951,19.358653302347594,,25.447825504390927
2006-05-15,38.35246263009979,,261.4985755561831,89.39870906360353,1.9884109753000547,590.310406782772,,,,,1.4692820964083724,11.749100978015655,256.45314138803576,206.4791488602202,106.32358863812296,20.27510483945167,,24.967991867756567
2006-05-16,40.40119394164599,,251.96049711563091,96.17161492963434,2.0681136441331245,607.0489778161292,,,,,1.5064282022021305,12.736694257751793,252.85244442570252,202.75618258963016,105.45165182749123,21.567089071084453,,24.79274819747912
2006-05-17,38.368848110162,,243.0831791004072,95.91906467225606,2.230360411406473,554.0381519577136,,,,,1.6760045375325965,12.478064617584092,229.3638703460716,192.8639588699581,104.47635018508318,21.389661186696557,,24.61709778860328
2006-05-18,40.246702572076394,,249.0723274747279,95.58442303183121,2.206657619515795,555.1284537048625,,,,,1.7153301349047076,12.475796207187901,225.14072497191785,196.5056902319226,107.13394677433891,21.960824439675857,,25.445547557757944
2006-05-19,41.37122223872277,,247.822635785738,93.00718848869566,2.2617646179883217,563.9317344864276,,,,,1.7490497973494772,13.297394491816421,212.44176119843868,185.95627253358847,107.95713590899042,22.98833321239311,,25.450061430390857
2006-05-20,41.37122223872277,,247.822635785738,93.00718848869566,2.2617646179883217,563.9317344864276,,,,,1.7490497973494772,13.297394491816421,212.44176119843868,185.95627253358847,107.95713590899042,22.98833321239311,,25.450061430390857
2006-05-21,41.37122223872277,,247.822635785738,93.00718848869566,2.2617646179883217,563.9317344864276,,,,,1.7490497973494772,13.297394491816421,212.44176119843868,185.95627253358847,107.95713590899042,22.98833321239311,,25.450061430390857
2006-05-22,43.33761142823777,,246.9042829078978,89.11398000438045,2.3203125580263397,567.2276814520523,,,,,2.0419470056229283,14.318618615617066,200.63307577751357,186.12359063832244,109.07830880545595,23.83427353490402,,26.40695422250555
2006-05-23,42.23308490872173,,256.34885650104525,91.99633837332053,2.3447421744515142,618.3507764027194,,,,,1.6712740833409958,13.18894852297926,224.26624969988842,185.8209231960581,105.76080068786186,23.031796743516864,,26.73153649637988
