Date,AID Life Science Holdings Ltd,ALTA SA,AMP Ltd,AQ Estate PCL,Agat Ejendomme A/S,Akbank T.A.S.,Akita Bank Ltd/The,Al Mal Investment Co KSC,Al-Massaleh Real Estate Co KSC,Allahabad Bank,Alliance Data Systems Corp,Alpha Bank AE,Anadolu Hayat Emeklilik AS,Andhra Bank,Aplus Financial Co Ltd,Arlington Asset Investment Corp,Ashford Hospitality Trust Inc,Asia Orient Holdings Ltd,Asian Pac Holdings Bhd,Australia & New Zealand Banking Group Ltd
2016-06-26,0.5091147397394161,0.06647176705793117,0.21209617183907564,0.08086771550120453,0.14032592041735492,0.2585063045368359,0.3159685260434614,0.17114360202716788,0.27146680712270344,0.5601348935295369,0.08740202408403558,0.6677774359332386,0.3167802589667931,0.41971906429668643,0.1794489445227104,0.6621224090056502,0.16420627545488448,0.37310536594859295,0.08211820514184759,0.38103305187763353
2016-06-27,0.5317205199742703,0.06687364529948808,0.21411220334795086,0.08086771550120453,0.14816755792427236,0.2616281041214689,0.3038719164002766,0.18151482503823363,0.27146680712270344,0.5124606626233121,0.09467765035924387,0.767316182079842,0.30237799772344054,0.3884690730730085,0.17561132869237664,0.6744731662881429,0.19279709655243799,0.36762248492268723,0.08316156321817804,0.39139428498249934
2016-06-28,0.5331237073722513,0.06546625315036932,0.2251888075544363,0.08086771550120453,0.1490828002929155,0.24796875916939484,0.2941103377369203,0.17868559501310727,0.27146680712270344,0.5216338460554907,0.09437855815602134,0.652989145503324,0.29556547031733205,0.4003394383989099,0.1721634335230165,0.7309687475030219,0.1968833710525882,0.3682425366198692,0.08223366990674918,0.3879851647285215
2016-06-29,0.5244382018250171,0.06392671963183529,0.2206736032843818,0.08086771550120453,0.1421231746562754,0.25100690051414853,0.2868047276618461,0.17619753785948153,0.27146680712270344,0.49853123344631123,0.08809591825254424,0.6250917471940725,0.3055416757161642,0.38158024196344653,0.16767163633582424,0.7414382227646453,0.1781227175774755,0.3275883306787367,0.08190187843262564,0.37353221071775655
2016-06-30,0.525810875695916,0.06280062039031234,0.19453450444493858,0.08086771550120453,0.15553076303640792,0.23797049601611828,0.29990982531888344,0.1717185736496229,0.27146680712270344,0.4635289095166078,0.08706754694142438,0.6805351170472782,0.27932753363225443,0.34918247352892734,0.16505319640722932,0.7361150173459565,0.1704438445836054,0.35558591670210965,0.0779623632363955,0.34478597969833713
2016-07-01,0.525810875695916,0.06325125194096733,0.19372882480719714,0.08086771550120453,0.15296342055401518,0.23023723552182931,0.25674373181253096,0.1717185736496229,0.27146680712270344,0.45948919380319303,0.08672540920462589,0.7237047077483513,0.2845926585983615,0.3508281489897205,0.1552225250598561,0.7413050590658687,0.1537296640357556,0.35558591670210965,0.07730741565852865,0.35134511626778825
2016-07-02,0.525810875695916,0.06325125194096733,0.19372882480719714,0.08086771550120453,0.15296342055401518,0.23023723552182931,0.25674373181253096,0.1717185736496229,0.27146680712270344,0.45948919380319303,0.08672540920462589,0.7237047077483513,0.2845926585983615,0.3508281489897205,0.1552225250598561,0.7413050590658687,0.1537296640357556,0.35558591670210965,0.07730741565852865,0.35134511626778825
2016-07-03,0.525810875695916,0.06325125194096733,0.19372882480719714,0.08086771550120453,0.15296342055401518,0.23023723552182931,0.25674373181253096,0.1717185736496229,0.27146680712270344,0.45948919380319303,0.08672540920462589,0.7237047077483513,0.2845926585983615,0.3508281489897205,0.1552225250598561,0.7413050590658687,0.1537296640357556,0.35558591670210965,0.07730741565852865,0.35134511626778825
2016-07-04,0.5690855432743375,0.06643518529421344,0.18587830270522532,0.08086771550120453,0.1496912949969546,0.2262808102881333,0.2594566126343288,0.15487900592756915,0.27146680712270344,0.40658880457833596,0.08672540920462589,0.7917821163206216,0.27918455033680956,0.333038913057713,0.15552753379572823,0.7413050590658687,0.1537296640357556,0.3285400915921644,0.07480725819936974,0.35341146704343906
2016-07-05,0.575049605160854,0.06718237325470228,0.19412007788834515,0.08086771550120453,0.15064287989041283,0.2262808102881333,0.2579166036558562,0.15487900592756915,0.27146680712270344,0.39556732395575084,0.08844894740675019,0.8891466679465609,0.27918455033680956,0.33102084558500444,0.15464042586505794,0.7558670553147309,0.18553149296109925,0.3492752701938926,0.07612208905264636,0.37130049358440964
