Date,AEC Securities PCL,AEON Financial Service Co Ltd,AF Global Ltd,AF Global Ltd,Aichi Bank Ltd/The,Aksigorta AS,DNB ASA,FirstRand Ltd,GAM Holding AG,GEK Terna Holding Real Estate Construction SA,Gazit-Globe Ltd,Gemdale Properties & Investment Corp Ltd,Jyske Bank A/S,Kuwait Financial Centre SAK,LAMDA Development SA,Ladenburg Thalmann Financial Services Inc,Land & General Bhd,Skandinaviska Enskilda Banken AB,Skjern Bank
2010-10-12,0.12740947095793806,0.2004291608324623,0.04464740573943962,0.04464740573943962,0.3206992778134655,0.4401869237023483,0.3134206327345836,0.8330329854781384,0.0893788994754813,0.3474932345568271,0.10639443251971432,0.10593827318320458,0.24571460558694766,0.046327862673630434,0.7152789381456556,0.057692514267556616,0.04312044529019873,0.23951782833847196,0.5686219654139782
2010-10-13,0.12462917536218267,0.2031514822634518,0.044430287418491726,0.044430287418491726,0.32548849698431787,0.4211778350598792,0.2884240510092349,0.7840464770232396,0.08846735585266531,0.3359713761235351,0.1020971823183499,0.10351937789050834,0.22343186096492196,0.04454023951392993,0.7105036908771994,0.051030032825870195,0.03918426267263762,0.2267308688901223,0.5460885582847244
2010-10-14,0.12330884074950274,0.18956667818227693,0.046410966059386514,0.046410966059386514,0.3240757999562043,0.4377878227136957,0.2801020884450039,0.7935601607761482,0.08676621684038269,0.35160633932111773,0.10212404752188867,0.10372194417610515,0.22613431252417487,0.046451306658689004,0.7131321187570195,0.04290225130559453,0.03975973735797967,0.22872314473302197,0.5588431759213418
2010-10-15,0.12044514481930686,0.198204634629876,0.043646322161951516,0.043646322161951516,0.3398354595136729,0.4263667179761796,0.2896089776359489,0.8147676904139135,0.08394355173055418,0.33883005949620987,0.10212404752188867,0.101194133836577,0.22852113721017225,0.046451306658689004,0.6895905032420757,0.04511853756867912,0.038100732529873366,0.2276999851659471,0.53763082958769
2010-10-16,0.12044514481930686,0.198204634629876,0.043646322161951516,0.043646322161951516,0.3398354595136729,0.4263667179761796,0.2896089776359489,0.8147676904139135,0.08394355173055418,0.33883005949620987,0.10212404752188867,0.101194133836577,0.22852113721017225,0.046451306658689004,0.6895905032420757,0.04511853756867912,0.038100732529873366,0.2276999851659471,0.53763082958769
2010-10-17,0.12044514481930686,0.198204634629876,0.043646322161951516,0.043646322161951516,0.3398354595136729,0.4263667179761796,0.2896089776359489,0.8147676904139135,0.08394355173055418,0.33883005949620987,0.10212404752188867,0.101194133836577,0.22852113721017225,0.046451306658689004,0.6895905032420757,0.04511853756867912,0.038100732529873366,0.2276999851659471,0.53763082958769
2010-10-18,0.12306664717537967,0.19494229682315076,0.04382998646104606,0.04382998646104606,0.3148335560605319,0.41007924459795975,0.2833275068582657,0.8149971541522554,0.08348342632593576,0.32599400689186303,0.09726286885641076,0.10270832203793377,0.230401413842778,0.045145235028774496,0.7215155591774586,0.0448972633644791,0.036060566169600815,0.22745204301278005,0.5422037161828472
2010-10-19,0.121960290452494,0.184591843639334,0.04363648746553709,0.04363648746553709,0.30640065606982037,0.4008371293178572,0.2907774322027451,0.9986552510456471,0.08486084934878552,0.3354552460049485,0.09842570627032768,0.1031870331054519,0.2228996346871788,0.045454364084260616,0.7063059222516509,0.04893452671668072,0.03743953954070244,0.22490508602054962,0.5463954738978923
2010-10-20,0.1224553353680011,0.1820243198546047,0.04398423710614887,0.04398423710614887,0.32477182614215444,0.41474688705613644,0.2932235348984952,0.9766291744018616,0.08389617718366393,0.3364112773352037,0.10017986003536564,0.10103890003237498,0.21949923404973593,0.04680520428306795,0.7031670439544935,0.04868647435299333,0.036002975127607646,0.2381611406328339,0.5504713789087305
2010-10-21,0.12190390203399123,0.18559500166806192,0.04043885904005652,0.04043885904005652,0.3259591545728494,0.4125210629603558,0.2736074697457387,0.9518122045637385,0.0863168880578173,0.3399109361621393,0.09124264031587533,0.10082477781182034,0.21768625585493726,0.04692827214535341,0.6934475927174027,0.05083320264287917,0.03597062931280995,0.22027279951260734,0.5456507393872987
2010-10-22,0.12636851294421828,0.1725516056300248,0.04298936782796572,0.04298936782796572,0.33896941002302683,0.40089232201379743,0.2687402015833893,0.9759666505756218,0.0888801882322298,0.3268048324016174,0.09124264031587533,0.10135952191097976,0.21841118219540448,0.04692827214535341,0.7018881555357721,0.05442111426443878,0.03891738800866395,0.21728537168413603,0.5416316179353132
2010-10-23,0.12636851294421828,0.1725516056300248,0.04298936782796572,0.04298936782796572,0.33896941002302683,0.40089232201379743,0.2687402015833893,0.9759666505756218,0.0888801882322298,0.3268048324016174,0.09124264031587533,0.10135952191097976,0.21841118219540448,0.04692827214535341,0.7018881555357721,0.05442111426443878,0.03891738800866395,0.21728537168413603,0.5416316179353132
2010-10-24,0.12636851294421828,0.1725516056300248,0.04298936782796572,0.04298936782796572,0.33896941002302683,0.40089232201379743,0.2687402015833893,0.9759666505756218,0.0888801882322298,0.3268048324016174,0.09124264031587533,0.10135952191097976,0.21841118219540448,0.04692827214535341,0.7018881555357721,0.05442111426443878,0.03891738800866395,0.21728537168413603,0.5416316179353132
