Date,Urstadt Biddle Properties Inc
20050628,0.0014923
20050629,0.0013789
20050630,0.0011137
20050701,0.0010621
20050702,0.0010621
20050703,0.0010621
20050704,0.0010621
20050705,0.00095938
20050706,0.0010654
20050707,0.0010813
20050708,0.0009567
20050709,0.0009567
20050710,0.0009567
20050711,0.00088528
20050712,0.00090568
20050713,0.00091817
20050714,0.0010457
20050715,0.00099992
20050716,0.00099992
20050717,0.00099992
20050718,0.001007
20050719,0.00098788
20050720,0.0008627
20050721,0.0010208
20050722,0.00091846
20050723,0.00091846
20050724,0.00091846
20050725,0.00095473
20050726,0.00094779
20050727,0.00094566
20050728,0.00086871
20050729,0.0010437
20050730,0.0010437
20050731,0.0010437
20050801,0.0010621
20050802,0.0010853
20050803,0.0011274
20050804,0.0011752
20050805,0.0012828
20050806,0.0012828
20050807,0.0012828
20050808,0.001704
20050809,0.0015755
20050810,0.0016139
20050811,0.0015119
20050812,0.0016297
20050813,0.0016297
20050814,0.0016297
20050815,0.0015798
20050816,0.0016352
20050817,0.0016086
20050818,0.0016996
20050819,0.0017896
20050820,0.0017896
20050821,0.0017896
20050822,0.0017104
20050823,0.0016725
20050824,0.0015457
20050825,0.0014553
20050826,0.0015573
20050827,0.0015573
20050828,0.0015573
20050829,0.0014699
20050830,0.0015606
20050831,0.0015041
20050901,0.001507
20050902,0.0015515
20050903,0.0015515
20050904,0.0015515
20050905,0.0015515
20050906,0.00141
20050907,0.0014747
20050908,0.0016065
20050909,0.001524
20050910,0.001524
20050911,0.001524
20050912,0.0014983
20050913,0.0020728
20050914,0.0021112
20050915,0.0020779
20050916,0.0020076
20050917,0.0020076
20050918,0.0020076
20050919,0.0021629
20050920,0.0022856
20050921,0.0024242
20050922,0.0026299
20050923,0.0026052
20050924,0.0026052
20050925,0.0026052
20050926,0.002841
20050927,0.0026983
20050928,0.0030658
20050929,0.0029946
20050930,0.008591
20051001,0.0087615
20051002,0.0087615
20051003,0.0086568
20051004,0.0086754
20051005,0.0094342
20051006,0.0093397
20051007,0.008407
20051008,0.008407
20051009,0.008407
20051010,0.0086876
20051011,0.0088476
20051012,0.0087689
20051013,0.0088027
20051014,0.0082713
20051015,0.0082713
20051016,0.0082713
20051017,0.0084379
20051018,0.0087674
20051019,0.0081246
20051020,0.0080627
20051021,0.007047
20051022,0.007047
20051023,0.007047
20051024,0.0060402
20051025,0.0061995
20051026,0.0066757
20051027,0.0069989
20051028,0.0064269
20051029,0.0064269
20051030,0.0064269
20051031,0.0069261
20051101,0.0074777
20051102,0.0071666
20051103,0.007245
20051104,0.0072109
20051105,0.0072109
20051106,0.0072109
20051107,0.007161
20051108,0.007243
20051109,0.0069092
20051110,0.006174
20051111,0.0067368
20051112,0.0067368
20051113,0.0067368
20051114,0.0073012
20051115,0.0074932
20051116,0.0076388
20051117,0.0072704
20051118,0.0074118
20051119,0.0074118
20051120,0.0074118
20051121,0.0075646
20051122,0.0076328
20051123,0.0075921
20051124,0.0075921
20051125,0.0075168
20051126,0.0075168
20051127,0.0075168
20051128,0.0080514
20051129,0.0080934
20051130,0.0067078
20051201,0.0068724
20051202,0.0065074
20051203,0.0065074
20051204,0.0065074
20051205,0.0066257
20051206,0.0066707
20051207,0.0071058
20051208,0.0068848
20051209,0.0067885
20051210,0.0067885
20051211,0.0067885
20051212,0.007181
20051213,0.0070713
20051214,0.0071772
20051215,0.0074784
20051216,0.0077578
20051217,0.0077578
20051218,0.0077578
20051219,0.0085151
20051220,0.0086172
20051221,0.0080848
20051222,0.0076575
20051223,0.0077164
20051224,0.0077164
20051225,0.0077164
20051226,0.0077164
20051227,0.0076286
20051228,0.0075615
20051229,0.0077166
20051230,0.0066886
20051231,0.0066886
20060101,0.0068284
20060102,0.0068284
20060103,0.0066321
20060104,0.0073568
20060105,0.0073779
20060106,0.0073677
20060107,0.0073677
20060108,0.0073677
20060109,0.0071477
20060110,0.0070973
20060111,0.006802
20060112,0.0065293
20060113,0.00665
20060114,0.00665
20060115,0.00665
20060116,0.00665
20060117,0.0065117
20060118,0.0065003
20060119,0.0058595
20060120,0.0058996
20060121,0.0058996
20060122,0.0058996
20060123,0.0054133
20060124,0.004934
20060125,0.004974
20060126,0.0049536
20060127,0.0048096
20060128,0.0048096
20060129,0.0048096
20060130,0.005314
20060131,0.0053127
20060201,0.0052463
20060202,0.0053115
20060203,0.0055486
20060204,0.0055486
20060205,0.0055486
20060206,0.0055925
20060207,0.0057618
20060208,0.0059998
20060209,0.0060672
20060210,0.0057657
20060211,0.0057657
20060212,0.0057657
20060213,0.0056967
20060214,0.0054602
20060215,0.0053028
20060216,0.0052291
20060217,0.0051702
20060218,0.0051702
20060219,0.0051702
20060220,0.0051702
20060221,0.0054842
20060222,0.0053063
20060223,0.0051634
20060224,0.0056021
20060225,0.0056021
20060226,0.0056021
20060227,0.0055529
20060228,0.0055348
20060301,0.005485
20060302,0.0058221
20060303,0.005744
20060304,0.005744
20060305,0.005744
20060306,0.005553
20060307,0.0052691
20060308,0.0053254
20060309,0.0055724
20060310,0.0049393
20060311,0.0049393
20060312,0.0049393
20060313,0.0048621
20060314,0.0047355
20060315,0.0047969
20060316,0.0048582
20060317,0.0045474
20060318,0.0045474
20060319,0.0045474
20060320,0.0047381
20060321,0.004757
20060322,0.0045974
20060323,0.0045553
20060324,0.0045048
20060325,0.0045048
20060326,0.0045048
20060327,0.0045547
20060328,0.0044344
20060329,0.0043086
20060330,0.0044208
20060331,0.0036266
20060401,0.0037061
20060402,0.0037061
20060403,0.0040097
20060404,0.0041206
20060405,0.0041087
20060406,0.0040725
20060407,0.0044365
20060408,0.0044365
20060409,0.0044365
20060410,0.0047565
20060411,0.0053695
20060412,0.005059
20060413,0.0048448
20060414,0.0048448
20060415,0.0048448
20060416,0.0048448
20060417,0.0050502
20060418,0.0044692
20060419,0.0043966
20060420,0.0049032
20060421,0.004744
20060422,0.004744
20060423,0.004744
20060424,0.0047965
20060425,0.0052957
20060426,0.0053754
20060427,0.0055389
20060428,0.006844
20060429,0.006844
20060430,0.006844
20060501,0.0074435
20060502,0.0077172
20060503,0.0073238
20060504,0.0071493
20060505,0.0068408
20060506,0.0068408
20060507,0.0068408
20060508,0.0071184
20060509,0.0075633
20060510,0.0079489
20060511,0.0088393
20060512,0.0093014
20060513,0.0093014
20060514,0.0093014
20060515,0.0082951
20060516,0.0080827
20060517,0.0076529
20060518,0.0081026
20060519,0.0075878
20060520,0.0075878
20060521,0.0075878
20060522,0.007595
20060523,0.0081592
20060524,0.0076491
20060525,0.0077971
20060526,0.0076797
20060527,0.0076797
20060528,0.0076797
20060529,0.0076797
20060530,0.0083211
20060531,0.0093389
20060601,0.0087833
20060602,0.0086836
20060603,0.0086836
20060604,0.0086836
20060605,0.0088123
20060606,0.0093044
20060607,0.0095183
20060608,0.0088216
20060609,0.0093966
20060610,0.0093966
20060611,0.0093966
20060612,0.010411768954608405
20060613,0.010154997832078164
20060614,0.010053957499026808
20060615,0.0097511
20060616,0.010180211485418129
20060617,0.010180211485418129
20060618,0.010180211485418129
20060619,0.010410824755350804
20060620,0.01037341176283602
20060621,0.0099958
20060622,0.01020623044747616
20060623,0.010456789100440874
20060624,0.010456789100440874
20060625,0.010456789100440874
20060626,0.010490940090642461
20060627,0.010391883813759795
20060628,0.010638253259979687
20060629,0.0099673
20060630,0.01006181452378585
20060701,0.010292445607013277
20060702,0.010292445607013277
20060703,0.0097683
20060704,0.0097683
20060705,0.0094021
20060706,0.0095408
20060707,0.010127739708653431
20060708,0.010127739708653431
20060709,0.010127739708653431
20060710,0.0091828
20060711,0.0088286
20060712,0.0095192
20060713,0.0096366
20060714,0.01010051157770927
20060715,0.01010051157770927
20060716,0.01010051157770927
20060717,0.0099604
20060718,0.0097699
20060719,0.0084446
20060720,0.0093047
20060721,0.010036892980785845
20060722,0.010036892980785845
20060723,0.010036892980785845
20060724,0.0089546
20060725,0.008541
20060726,0.0092212
20060727,0.0095389
20060728,0.0087965
20060729,0.0087965
20060730,0.0087965
20060731,0.0091986
20060801,0.0095463
20060802,0.0095181
20060803,0.0089801
20060804,0.0094185
20060805,0.0094185
20060806,0.0094185
20060807,0.009589
20060808,0.010551284028834127
20060809,0.011151722146816406
20060810,0.010576649259319112
20060811,0.011051060492573017
20060812,0.011051060492573017
20060813,0.011051060492573017
20060814,0.0112442208831389
20060815,0.0099945
20060816,0.010129382616793163
20060817,0.01051187248480525
20060818,0.010988944330534342
20060819,0.010988944330534342
20060820,0.010988944330534342
20060821,0.011437454637535574
20060822,0.010656573827383133
20060823,0.01167399142886971
20060824,0.011188194683364667
20060825,0.011072200691021656
20060826,0.011072200691021656
20060827,0.011072200691021656
20060828,0.01077697628884622
20060829,0.0098452
20060830,0.0093899
20060831,0.0077106
20060901,0.0079567
20060902,0.0079567
20060903,0.0079567
20060904,0.0079567
20060905,0.0070932
20060906,0.0071305
20060907,0.0074014
20060908,0.0069721
20060909,0.0069721
20060910,0.0069721
20060911,0.0069262
20060912,0.0061592
20060913,0.0059877
20060914,0.0057956
20060915,0.0054291
20060916,0.0054291
20060917,0.0054291
20060918,0.0054265
20060919,0.0053538
20060920,0.0049964
20060921,0.0049751
20060922,0.0053641
20060923,0.0053641
20060924,0.0053641
20060925,0.0049598
20060926,0.0055706
20060927,0.0056094
20060928,0.0056968
20060929,0.0019971
20060930,0.0019971
20061001,0.0020446
20061002,0.0020418
20061003,0.002138
20061004,0.0019592
20061005,0.0017736
20061006,0.0020539
20061007,0.0020539
20061008,0.0020539
20061009,0.001882
20061010,0.0019649
20061011,0.0020521
20061012,0.0018545
20061013,0.0016883
20061014,0.0016883
20061015,0.0016883
20061016,0.0017039
20061017,0.0017586
20061018,0.0016448
20061019,0.0016214
20061020,0.0016525
20061021,0.0016525
20061022,0.0016525
20061023,0.0015323
20061024,0.0015614
20061025,0.0015428
20061026,0.0015302
20061027,0.0016206
20061028,0.0016206
20061029,0.0016206
20061030,0.001476
20061031,0.0012726
20061101,0.0015932
20061102,0.0017811
20061103,0.0016998
20061104,0.0016998
20061105,0.0016998
20061106,0.0014778
20061107,0.0013739
20061108,0.0013506
20061109,0.0016272
20061110,0.0014942
20061111,0.0014942
20061112,0.0014942
20061113,0.001455
20061114,0.001269
20061115,0.00134
20061116,0.0013658
20061117,0.0013504
20061118,0.0013504
20061119,0.0013504
20061120,0.0013129
20061121,0.0012909
20061122,0.0012419
20061123,0.0012419
20061124,0.0012527
20061125,0.0012527
20061126,0.0012527
20061127,0.0014144
20061128,0.0012988
20061129,0.001261
20061130,0.0021766
20061201,0.0024111
20061202,0.0024111
20061203,0.0024111
20061204,0.002355
20061205,0.0023445
20061206,0.0022384
20061207,0.0023252
20061208,0.0023232
20061209,0.0023232
20061210,0.0023232
20061211,0.0023043
20061212,0.0022904
20061213,0.0023031
20061214,0.0020825
20061215,0.0021236
20061216,0.0021236
20061217,0.0021236
20061218,0.0022226
20061219,0.0023073
20061220,0.002353
20061221,0.0022846
20061222,0.0022215
20061223,0.0022215
20061224,0.0022215
20061225,0.0022215
20061226,0.0020102
20061227,0.00194
20061228,0.0019871
20061229,0.002063
20061230,0.002063
20061231,0.002063
20070101,0.0021139
20070102,0.0021139
20070103,0.0022207
20070104,0.0021232
20070105,0.0024936
20070106,0.0024936
20070107,0.0024936
20070108,0.0026078
20070109,0.0023344
20070110,0.0022996
20070111,0.002408
20070112,0.0019748
20070113,0.0019748
20070114,0.0019748
20070115,0.0019748
20070116,0.0021249
20070117,0.0021358
20070118,0.0021813
20070119,0.0020394
20070120,0.0020394
20070121,0.0020394
20070122,0.0021089
20070123,0.0021043
20070124,0.0019738
20070125,0.0019214
20070126,0.0019332
20070127,0.0019332
20070128,0.0019332
20070129,0.0019948
20070130,0.0018098
20070131,0.0022935
20070201,0.0023712
20070202,0.0025835
20070203,0.0025835
20070204,0.0025835
20070205,0.0025533
20070206,0.0025776
20070207,0.0025553
20070208,0.0026066
20070209,0.0024164
20070210,0.0024164
20070211,0.0024164
20070212,0.0024692
20070213,0.002522
20070214,0.0028576
20070215,0.0027595
20070216,0.002668
20070217,0.002668
20070218,0.002668
20070219,0.002668
20070220,0.0025653
20070221,0.002576
20070222,0.0026245
20070223,0.0027601
20070224,0.0027601
20070225,0.0027601
20070226,0.0028151
20070227,0.0030211
20070228,0.0031332
20070301,0.0031471
20070302,0.0031272
20070303,0.0031272
20070304,0.0031272
20070305,0.0032565
20070306,0.0027929
20070307,0.0027888
20070308,0.0029185
20070309,0.0031922
20070310,0.0031922
20070311,0.0031922
20070312,0.0031644
20070313,0.00329
20070314,0.0033042
20070315,0.0029139
20070316,0.0031935
20070317,0.0031935
20070318,0.0031935
20070319,0.0028692
20070320,0.0028762
20070321,0.0026082
20070322,0.0026831
20070323,0.0026674
20070324,0.0026674
20070325,0.0026674
20070326,0.0028755
20070327,0.0030546
20070328,0.0031566
20070329,0.0029506
20070330,0.0036014
20070331,0.0036014
20070401,0.0036931
20070402,0.0037064
20070403,0.0039501
20070404,0.0045138
20070405,0.0042688
20070406,0.0042688
20070407,0.0042688
20070408,0.0042688
20070409,0.0043471
20070410,0.0041795
20070411,0.0043032
20070412,0.0043076
20070413,0.0041911
20070414,0.0041911
20070415,0.0041911
20070416,0.0042016
20070417,0.0040305
20070418,0.0042869
20070419,0.0045383
20070420,0.0043359
20070421,0.0043359
20070422,0.0043359
20070423,0.0041309
20070424,0.004173
20070425,0.0042963
20070426,0.0043818
20070427,0.0046335
20070428,0.0046335
20070429,0.0046335
20070430,0.0039748
20070501,0.0037457
20070502,0.00352
20070503,0.0037834
20070504,0.0038864
20070505,0.0038864
20070506,0.0038864
20070507,0.003948
20070508,0.0040349
20070509,0.0040327
20070510,0.0043192
20070511,0.0038725
20070512,0.0038725
20070513,0.0038725
20070514,0.0042455
20070515,0.0045161
20070516,0.0046039
20070517,0.0049364
20070518,0.0049634
20070519,0.0049634
20070520,0.0049634
20070521,0.0047469
20070522,0.0043647
20070523,0.0046717
20070524,0.00534
20070525,0.0052909
20070526,0.0052909
20070527,0.0052909
20070528,0.0052909
20070529,0.0048487
20070530,0.0048101
20070531,0.0051671
20070601,0.0044868
20070602,0.0044868
20070603,0.0044868
20070604,0.0044839
20070605,0.0051502
20070606,0.0049236
20070607,0.0052678
20070608,0.0041654
20070609,0.0041654
20070610,0.0041654
20070611,0.0045444
20070612,0.0049317
20070613,0.0038652
20070614,0.0038852
20070615,0.0037167
20070616,0.0037167
20070617,0.0037167
20070618,0.0037106
20070619,0.0036099
20070620,0.0040954
20070621,0.0042873
20070622,0.0044927
20070623,0.0044927
20070624,0.0044927
20070625,0.0050081
20070626,0.0045326
20070627,0.0040314
20070628,0.0044052
20070629,0.0078657
20070630,0.0078657
20070701,0.0080714
20070702,0.0079417
20070703,0.0082052
20070704,0.0082052
20070705,0.0081962
20070706,0.0077905
20070707,0.0077905
20070708,0.0077905
20070709,0.0081242
20070710,0.0084979
20070711,0.0087415
20070712,0.0084127
20070713,0.0081559
20070714,0.0081559
20070715,0.0081559
20070716,0.008571
20070717,0.00847
20070718,0.0081094
20070719,0.0080146
20070720,0.0094098
20070721,0.0094098
20070722,0.0094098
20070723,0.0094034
20070724,0.009715
20070725,0.0084993
20070726,0.0091572
20070727,0.011604693527393562
20070728,0.011604693527393562
20070729,0.011604693527393562
20070730,0.011676214993034447
20070731,0.01308702144224375
20070801,0.012206926139143667
20070802,0.010938778645923401
20070803,0.013512006518649138
20070804,0.013512006518649138
20070805,0.013512006518649138
20070806,0.012321589409194318
20070807,0.013492581808477826
20070808,0.011615974784278504
20070809,0.011994347357247656
20070810,0.014219170450646704
20070811,0.014219170450646704
20070812,0.014219170450646704
20070813,0.012225632041033116
20070814,0.013620118483128347
20070815,0.01244182482995686
20070816,0.0096434
20070817,0.0088521
20070818,0.0088521
20070819,0.0088521
20070820,0.0085412
20070821,0.0094061
20070822,0.0099739
20070823,0.0089412
20070824,0.0094492
20070825,0.0094492
20070826,0.0094492
20070827,0.01028964127935935
20070828,0.0096642
20070829,0.0094205
20070830,0.0096764
20070831,0.01905973848039028
20070901,0.019566615534162054
20070902,0.019566615534162054
20070903,0.019566615534162054
