Date,Hercules Capital Inc
20051117,0.2292854953854727
20051118,0.23016372102427637
20051119,0.23016372102427637
20051120,0.23016372102427637
20051121,0.2383212977023824
20051122,0.23265987115820802
20051123,0.2418838821239881
20051124,0.2418838821239881
20051125,0.2427627325019314
20051126,0.2427627325019314
20051127,0.2427627325019314
20051128,0.23504245094170353
20051129,0.23964630538868062
20051130,0.29057981045856157
20051201,0.3246596404612373
20051202,0.26636483560759205
20051203,0.26636483560759205
20051204,0.26636483560759205
20051205,0.28621157668649494
20051206,0.2916665046472155
20051207,0.29933649160922704
20051208,0.335390146065798
20051209,0.3506959727300721
20051210,0.3506959727300721
20051211,0.3506959727300721
20051212,0.36891207870511694
20051213,0.37233350246774366
20051214,0.3807356112417211
20051215,0.4044717366090415
20051216,0.4152815159327106
20051217,0.4152815159327106
20051218,0.4152815159327106
20051219,0.35719798795968816
20051220,0.3373810301551783
20051221,0.3260424751341149
20051222,0.2828988268410668
20051223,0.28019807304854555
20051224,0.28019807304854555
20051225,0.28019807304854555
20051226,0.28019807304854555
20051227,0.2945935170407543
20051228,0.30701207961267585
20051229,0.28310595428495317
20051230,0.2982761996349646
20051231,0.2982761996349646
20060101,0.3045342905672654
20060102,0.3045342905672654
20060103,0.3446871624711475
20060104,0.3509055428471569
20060105,0.35954212310216294
20060106,0.3733827399766472
20060107,0.3733827399766472
20060108,0.3733827399766472
20060109,0.3763515662849483
20060110,0.3760181752723691
20060111,0.3925028530860744
20060112,0.3782213324095468
20060113,0.38134874588200973
20060114,0.38134874588200973
20060115,0.38134874588200973
20060116,0.38134874588200973
20060117,0.37919161762726966
20060118,0.37619742790947835
20060119,0.38812069311872593
20060120,0.3780598010456942
20060121,0.3780598010456942
20060122,0.3780598010456942
20060123,0.4468911797124523
20060124,0.4361413715373907
20060125,0.44142831131873117
20060126,0.4365273445186363
20060127,0.446486895835581
20060128,0.446486895835581
20060129,0.446486895835581
20060130,0.46160269276230714
20060131,0.3349809739034985
20060201,3.116765265508329
20060202,3.3249341968345125
20060203,3.225620699326464
20060204,3.225620699326464
20060205,3.225620699326464
20060206,3.2481230764747258
20060207,3.2087197052478404
20060208,3.2444781355738126
20060209,3.347180621770229
20060210,3.422925117019885
20060211,3.422925117019885
20060212,3.422925117019885
20060213,3.447170436760854
20060214,3.542223942303364
20060215,3.513830605152649
20060216,3.5702217276594235
20060217,3.329805852680812
20060218,3.329805852680812
20060219,3.329805852680812
20060220,3.329805852680812
20060221,3.500264683990171
20060222,3.4914416193524693
20060223,3.5456764919811445
20060224,3.6886057197909303
20060225,3.6886057197909303
20060226,3.6886057197909303
20060227,3.6060380448676317
20060228,3.2490147320446567
20060301,3.094585240686061
20060302,3.174890007043485
20060303,3.1499972658749074
20060304,3.1499972658749074
20060305,3.1499972658749074
20060306,3.321415297539793
20060307,3.213063208228693
20060308,3.301501085420508
20060309,3.189432640629321
20060310,2.7979406618150784
20060311,2.7979406618150784
20060312,2.7979406618150784
20060313,2.8140308867427946
20060314,2.872243178985278
20060315,2.9592717512311477
20060316,3.079980416464118
20060317,3.2096382889574246
20060318,3.2096382889574246
20060319,3.2096382889574246
20060320,3.159561955747739
20060321,3.258294905784956
20060322,3.23764612427324
20060323,3.309869481065669
20060324,3.1122575269211885
20060325,3.1122575269211885
20060326,3.1122575269211885
20060327,3.471875683915206
20060328,3.5516360281445714
20060329,3.4692659373269343
20060330,3.4308036096937533
20060331,2.966937146570806
20060401,3.0324624985200566
20060402,3.0324624985200566
20060403,3.1678338353185276
20060404,2.935698520772725
